#         t          x          y          z         vx         vy         vz
      0.000   -377.770    611.470   -284.600     73.030    -72.140     49.530
      0.014   -376.720    610.440   -283.880     73.880    -72.430     48.630
      0.029   -375.570    609.370   -283.220     73.040    -74.740     52.710
      0.043   -374.610    608.350   -282.480     73.250    -74.090     51.740
      0.057   -373.570    607.350   -281.830     75.490    -75.430     51.820
      0.071   -372.420    606.230   -281.090     74.910    -76.630     52.870
      0.086   -371.440    605.250   -280.450     74.880    -77.350     52.820
      0.100   -370.310    604.070   -279.640     72.110    -76.570     52.870
      0.114   -369.270    603.010   -278.940     73.500    -76.810     51.640
      0.129   -368.240    601.960   -278.250     73.260    -75.960     50.300
      0.143   -367.220    600.880   -277.490     73.470    -75.610     50.520
      0.157   -366.010    599.780   -276.880     75.510    -77.430     52.930
      0.171   -364.930    598.670   -276.160     74.630    -77.130     51.980
      0.186   -363.860    597.590   -275.460     73.740    -78.870     54.390
      0.200   -362.850    596.510   -274.700     75.400    -78.200     52.940
      0.214   -361.730    595.350   -273.910     73.050    -77.660     52.320
      0.229   -360.700    594.330   -273.320     75.540    -77.880     50.360
      0.243   -359.600    593.220   -272.620     74.470    -79.140     51.030
      0.257   -358.590    592.100   -271.870     73.520    -78.250     49.790
      0.271   -357.500    590.940   -271.110     72.960    -78.690     50.670
      0.286   -356.480    589.850   -270.410     71.380    -80.130     50.240
      0.300   -355.430    588.750   -269.800     72.100    -81.880     51.830
      0.314   -354.480    587.610   -269.010     69.670    -78.090     48.630
      0.329   -353.360    586.450   -268.340     72.140    -80.060     49.810
      0.343   -352.380    585.350   -267.660     71.130    -81.170     50.700
      0.357   -351.280    584.140   -266.960     71.880    -82.670     48.370
      0.371   -350.300    583.100   -266.400     70.800    -82.190     49.160
      0.386   -349.200    581.860   -265.690     71.090    -82.370     49.630
      0.400   -348.210    580.690   -264.980     69.300    -82.950     49.590
      0.414   -347.250    579.520   -264.260     67.490    -80.970     47.500
      0.429   -346.160    578.310   -263.620     68.750    -81.690     45.400
      0.443   -345.200    577.100   -262.900     68.650    -82.820     44.980
      0.457   -344.420    576.070   -262.400     67.870    -82.400     44.520
      0.471   -343.470    574.900   -261.780     69.390    -82.460     42.570
      0.486   -342.220    573.520   -260.930     69.050    -83.200     45.430
      0.500   -341.290    572.340   -260.260     67.090    -82.730     43.790
      0.514   -340.270    571.120   -259.600     67.630    -83.640     46.080
      0.529   -339.300    569.850   -258.840     67.180    -83.730     46.090
      0.543   -338.330    568.710   -258.300     66.970    -83.780     44.810
      0.557   -337.450    567.480   -257.540     67.380    -83.500     44.140
      0.571   -336.530    566.220   -256.780     65.060    -82.210     44.290
      0.586   -335.580    565.050   -256.170     66.260    -83.200     44.150
      0.600   -334.730    563.790   -255.390     65.220    -83.190     45.110
      0.614   -333.700    562.620   -254.880     64.730    -83.500     45.710
      0.629   -332.840    561.390   -254.140     63.630    -83.220     44.810
      0.643   -331.960    560.220   -253.510     63.830    -84.020     44.620
      0.657   -331.060    558.990   -252.840     61.440    -82.880     43.700
      0.671   -330.260    557.860   -252.240     61.650    -82.150     42.080
      0.686   -329.400    556.650   -251.570     61.100    -82.040     43.100
      0.700   -328.620    555.530   -251.000     59.470    -82.670     43.850
      0.714   -327.760    554.330   -250.350     57.480    -82.540     43.830
      0.729   -327.000    553.160   -249.680     55.610    -82.130     44.410
      0.743   -326.260    552.010   -249.040     55.600    -80.790     42.500
      0.757   -325.450    550.920   -248.550     54.930    -81.630     43.190
      0.771   -324.640    549.740   -247.920     54.560    -80.220     41.500
      0.786   -323.830    548.530   -247.260     52.420    -80.620     43.660
      0.800   -323.340    547.640   -246.860     51.670    -79.590     41.230
      0.814   -322.380    546.320   -246.130     48.520    -78.470     41.890
      0.829   -321.610    545.200   -245.590     48.040    -77.620     42.880
      0.843   -321.190    544.210   -245.000     47.650    -74.980     38.920
      0.857   -320.260    543.010   -244.390     46.880    -76.360     41.700
      0.871   -319.520    541.900   -243.800     45.360    -72.580     40.390
      0.886   -318.960    540.890   -243.220     45.090    -72.880     39.690
      0.900   -318.280    539.850   -242.680     47.420    -72.740     38.830
      0.914   -317.520    538.780   -242.150     46.590    -73.590     40.090
      0.929   -316.790    537.690   -241.540     45.490    -72.250     39.650
      0.943   -316.150    536.620   -240.890     45.980    -70.990     40.910
      0.957   -315.540    535.670   -240.350     46.270    -70.400     40.500
      0.971   -314.780    534.550   -239.680     45.450    -71.810     43.090
      0.986   -314.270    533.560   -238.970     45.350    -68.650     42.390
      1.000   -313.620    532.640   -238.460     45.980    -69.910     43.640
      1.014   -312.800    531.540   -237.800     43.310    -68.260     44.820
      1.029   -312.210    530.570   -237.130     42.840    -68.410     44.280
      1.043   -311.680    529.570   -236.390     41.690    -67.140     46.790
      1.057   -311.060    528.640   -235.750     41.250    -67.200     49.090
      1.071   -310.340    527.690   -235.120     42.260    -65.200     48.630
      1.086   -309.690    526.730   -234.430     43.460    -64.040     47.210
      1.100   -309.230    525.840   -233.690     43.810    -64.620     49.950
      1.114   -308.470    524.910   -233.070     46.330    -64.590     50.270
      1.129   -307.710    523.890   -232.290     45.410    -63.860     50.840
      1.143   -307.190    523.020   -231.550     45.350    -62.340     49.020
      1.157   -306.510    522.070   -230.810     43.740    -63.260     50.970
      1.171   -305.790    521.150   -230.140     47.300    -64.500     52.970
      1.186   -305.170    520.260   -229.370     46.700    -64.160     53.480
      1.200   -304.430    519.380   -228.710     48.030    -64.700     55.220
      1.214   -303.960    518.540   -227.880     48.460    -62.770     54.260
      1.229   -303.220    517.620   -227.110     48.270    -62.650     56.070
      1.243   -302.550    516.700   -226.260     47.170    -63.900     56.570
      1.257   -301.860    515.810   -225.480     47.580    -63.430     56.890
      1.271   -301.110    514.880   -224.680     45.940    -62.180     57.420
      1.286   -300.390    514.020   -223.910     47.620    -61.290     58.750
      1.300   -299.770    513.160   -223.070     47.940    -60.680     56.110
      1.314   -299.060    512.330   -222.320     50.900    -61.140     56.950
      1.329   -298.230    511.430   -221.520     49.880    -60.270     58.830
      1.343   -297.550    510.570   -220.660     52.050    -59.640     58.830
      1.357   -296.830    509.680   -219.790     52.390    -61.160     59.600
      1.371   -296.000    508.850   -219.070     52.380    -63.130     60.990
      1.386   -295.480    507.930   -217.970     52.120    -62.050     60.290
      1.400   -294.480    507.080   -217.360     56.580    -63.740     60.850
      1.414   -293.840    506.190   -216.370     54.110    -63.230     62.320
      1.429   -292.960    505.270   -215.520     54.790    -62.490     62.580
      1.443   -292.420    504.410   -214.480     55.630    -62.500     62.730
      1.457   -291.600    503.510   -213.590     56.790    -62.880     63.700
      1.471   -290.540    502.590   -212.840     57.900    -63.880     64.490
      1.486   -289.750    501.710   -211.920     57.660    -61.340     61.970
      1.500   -288.930    500.850   -211.060     59.110    -62.810     62.760
      1.514   -288.110    499.910   -210.100     58.070    -62.470     62.540
      1.529   -287.190    499.040   -209.300     58.570    -62.900     63.950
      1.543   -286.410    498.180   -208.390     60.180    -61.880     63.460
      1.557   -285.540    497.260   -207.460     61.600    -62.910     62.540
      1.571   -284.720    496.350   -206.500     60.440    -63.560     63.420
      1.586   -283.800    495.410   -205.570     62.230    -62.580     63.850
      1.600   -282.880    494.570   -204.770     61.810    -63.320     62.590
      1.614   -281.940    493.570   -203.760     61.720    -64.910     65.790
      1.629   -281.100    492.650   -202.790     62.150    -64.410     65.120
      1.643   -280.220    491.720   -201.830     63.590    -65.110     66.020
      1.657   -279.350    490.760   -200.800     64.040    -64.660     65.700
      1.671   -278.300    489.820   -199.950     66.900    -65.340     65.280
      1.686   -277.420    488.930   -199.010     66.700    -67.390     66.410
      1.700   -276.510    487.930   -197.960     67.210    -66.480     65.320
      1.714   -275.570    487.010   -197.070     69.970    -68.260     66.910
      1.729   -274.600    486.020   -196.050     69.970    -66.950     65.980
      1.743   -273.530    485.040   -195.090     71.400    -68.170     67.970
      1.757   -272.570    484.080   -194.110     71.480    -69.070     66.880
      1.771   -271.520    483.100   -193.190     73.500    -70.500     68.620
      1.786   -270.590    482.120   -192.130     73.800    -69.130     68.160
      1.800   -269.540    481.170   -191.200     75.760    -70.420     68.360
      1.814   -268.600    480.130   -190.070     74.430    -69.970     68.320
      1.829   -267.540    479.180   -189.180     74.730    -69.340     69.570
      1.843   -266.530    478.170   -188.130     75.120    -70.440     68.830
      1.857   -265.430    477.270   -187.320     76.790    -71.910     69.450
      1.871   -264.360    476.210   -186.250     77.510    -70.650     70.930
      1.886   -263.380    475.200   -185.150     77.260    -70.700     71.300
      1.900   -262.270    474.260   -184.260     78.130    -71.730     71.400
      1.914   -261.180    473.230   -183.210     76.640    -70.920     71.450
      1.929   -260.030    472.150   -182.150     77.980    -70.880     71.000
      1.943   -258.980    471.220   -181.270     79.870    -72.760     70.200
      1.957   -257.850    470.180   -180.250     78.060    -71.820     71.270
      1.971   -256.710    469.170   -179.290     79.210    -75.040     71.980
      1.986   -255.620    468.110   -178.240     79.980    -74.090     70.170
      2.000   -254.420    467.030   -177.260     79.310    -73.360     71.510
      2.014   -253.360    466.000   -176.210     79.560    -74.070     71.100
      2.029   -252.270    465.000   -175.270     80.570    -76.070     71.280
      2.043   -251.040    463.840   -174.200     80.790    -76.200     70.680
      2.057   -249.870    462.770   -173.220     81.250    -77.460     72.550
      2.071   -248.720    461.650   -172.150     81.620    -77.830     72.420
      2.086   -247.510    460.550   -171.150     83.510    -78.130     72.030
      2.100   -246.370    459.480   -170.140     84.260    -80.030     72.810
      2.114   -245.150    458.280   -169.020     82.520    -79.510     72.890
      2.129   -243.940    457.170   -168.010     84.460    -79.540     73.080
      2.143   -242.650    456.010   -167.020     84.150    -81.330     75.250
      2.157   -241.420    454.830   -165.940     84.240    -80.680     76.050
      2.171   -240.190    453.720   -164.950     85.930    -81.620     74.850
      2.186   -238.970    452.500   -163.800     86.060    -81.430     74.380
      2.200   -237.730    451.250   -162.640     85.340    -82.030     75.170
      2.214   -236.550    450.150   -161.670     85.620    -81.990     73.420
      2.229   -235.440    449.080   -160.670     86.250    -80.620     72.330
      2.243   -234.090    447.850   -159.630     87.750    -82.250     73.490
      2.257   -232.820    446.620   -158.520     88.550    -82.850     73.800
      2.271   -231.350    445.450   -157.560     89.940    -82.940     72.680
      2.286   -230.240    444.160   -156.330     88.850    -83.390     71.730
      2.300   -229.050    442.970   -155.230     88.220    -84.310     73.210
      2.314   -227.770    441.780   -154.240     91.270    -84.350     71.170
      2.329   -226.510    440.570   -153.160     92.550    -85.690     72.260
      2.343   -225.130    439.290   -152.110     93.190    -86.520     73.720
      2.357   -224.000    438.140   -151.060     92.430    -87.650     71.390
      2.371   -222.650    436.840   -149.990     91.700    -88.990     73.330
      2.386   -221.310    435.570   -148.970     90.660    -89.580     73.300
      2.400   -220.010    434.230   -147.840     89.610    -91.220     74.260
      2.414   -218.780    432.970   -146.780     87.980    -90.990     73.140
      2.429   -217.600    431.700   -145.700     89.700    -91.720     71.340
      2.443   -216.350    430.430   -144.700     88.570    -90.870     71.250
      2.457   -215.020    429.050   -143.570     86.520    -91.880     73.590
      2.471   -213.760    427.780   -142.590     87.560    -92.720     73.370
      2.486   -212.480    426.410   -141.480     90.170    -93.620     72.590
      2.500   -211.170    425.090   -140.460     91.220    -94.650     73.170
      2.514   -209.960    423.770   -139.410     89.960    -93.990     72.620
      2.529   -208.630    422.390   -138.360     91.380    -94.780     72.920
      2.543   -207.370    421.040   -137.270     90.430    -94.990     75.110
