#         t          x          y          z         vx         vy         vz
      0.000     -1.990      3.020     -1.450      0.110      4.240     -0.440
     71.429     -1.860      3.110     -1.460     -1.140      8.060     -0.360
    142.857     -1.900      3.230     -1.550     -3.260      9.130     -0.930
    214.286     -2.210      3.360     -1.600     -3.030      7.990      0.070
    285.714     -2.460      3.790     -1.610     -4.330      8.170     -0.190
    357.143     -2.630      4.360     -1.570     -6.050      7.160      0.600
    428.571     -3.150      4.760     -1.650     -8.930     12.340     -2.310
    500.000     -3.460      5.590     -1.820     -4.550     10.470     -2.790
    571.429     -3.680      6.120     -2.040     -3.220      6.670     -1.920
    642.857     -3.920      6.570     -2.200     -5.260      4.260     -1.810
    714.286     -4.460      7.150     -2.290     -7.500      6.920     -0.900
    785.714     -4.490      7.480     -2.550     -8.640      9.430     -6.530
    857.143     -5.140      8.200     -3.180    -10.310      6.860     -9.650
    928.571     -5.920      9.510     -3.690    -10.660     10.840     -9.230
   1000.000     -6.570     10.250     -4.300     -6.100     10.320     -7.740
   1071.430     -7.010     11.070     -4.870     -4.010     10.870     -8.510
   1142.860     -7.480     12.060     -5.620     -5.040     16.880    -10.640
   1214.290     -8.080     13.190     -6.400     -8.100     15.300    -11.180
   1285.710     -8.680     14.520     -7.150     -9.220     16.230    -10.910
   1357.140     -9.250     15.870     -7.940    -11.280     18.130    -11.240
   1428.570     -9.930     17.080     -8.830    -11.090     14.210    -13.490
   1500.000    -10.690     18.320     -9.810    -12.980     21.770    -14.820
   1571.430    -11.500     19.720    -10.850    -11.180     23.840    -15.700
   1642.860    -12.400     21.410    -11.800    -14.120     26.070    -12.710
   1714.290    -13.340     23.290    -12.740    -12.050     27.320    -14.220
   1785.710    -14.360     25.290    -13.750    -14.020     25.610    -15.660
   1857.140    -15.360     27.230    -14.820    -17.940     27.650    -15.170
   1928.570    -16.620     29.300    -15.780    -24.170     29.690    -15.030
   2000.000    -18.260     31.620    -16.880    -22.650     35.010    -15.280
   2071.430    -19.760     34.210    -17.990    -22.330     39.560    -16.570
   2142.860    -21.280     37.040    -19.180    -17.880     40.360    -15.540
   2214.290    -22.650     39.930    -20.440    -19.250     39.080    -19.060
   2285.710    -24.290     42.830    -21.830    -23.480     38.870    -19.200
   2357.140    -25.920     45.870    -23.150    -24.840     43.970    -19.260
   2428.570    -27.650     49.110    -24.490    -23.910     44.050    -19.480
   2500.000    -29.410     52.180    -25.890    -24.620     49.840    -20.180
   2571.430    -31.110     55.980    -27.360    -24.870     54.520    -21.940
   2642.860    -32.900     59.810    -28.790    -25.870     53.780    -19.370
   2714.290    -34.900     63.660    -30.290    -26.620     55.380    -22.130
   2785.710    -36.920     67.780    -31.900    -28.170     58.230    -24.090
   2857.140    -39.090     72.120    -33.610    -31.570     63.670    -23.870
   2928.570    -41.240     76.880    -35.400    -30.660     66.520    -27.930
   3000.000    -43.310     81.840    -37.420    -30.850     73.130    -28.380
   3071.430    -45.440     87.200    -39.460    -33.410     80.360    -28.070
   3142.860    -47.690     93.040    -41.510    -34.330     82.230    -30.320
   3214.290    -50.050     99.150    -43.670    -36.650     84.200    -30.280
   3285.710    -52.750    105.410    -45.740    -40.210     90.250    -30.480
   3357.140    -55.560    112.310    -47.920    -43.390     97.630    -31.610
   3428.570    -58.700    119.900    -50.120    -42.960    110.970    -30.480
   3500.000    -61.700    128.240    -52.270    -40.480    120.650    -30.220
   3571.430    -64.630    137.400    -54.370    -42.300    132.560    -28.110
   3642.860    -67.810    147.400    -56.320    -43.680    149.020    -27.660
   3714.290    -70.890    158.790    -58.080    -43.360    171.070    -21.100
   3785.710    -73.960    171.810    -59.240    -43.640    191.550    -10.850
   3857.140    -77.040    186.710    -59.390    -36.410    227.590     10.370
   3928.570    -78.610    204.400    -57.230     -5.510    264.520     57.210
   4000.000    -76.780    223.090    -50.340     57.270    245.460    129.540
   4071.430    -71.180    238.440    -40.120     91.700    182.790    148.360
   4142.860    -64.920    249.440    -30.170     84.860    125.810    128.770
   4214.290    -58.670    257.200    -21.890     75.010     89.030    103.630
   4285.710    -53.820    262.550    -15.170     67.490     65.600     86.090
   4357.140    -49.140    266.370     -9.700     63.070     44.880     70.920
   4428.570    -44.630    268.830     -5.010     61.690     26.050     62.860
   4500.000    -40.400    270.110     -0.920     58.570      8.500     52.790
   4571.430    -36.390    270.190      2.730     53.290     -6.080     49.850
   4642.860    -32.520    269.370      6.140     51.850    -17.510     43.330
   4714.290    -28.940    267.800      9.110     52.050    -28.720     37.670
   4785.710    -25.410    265.390     11.670     50.890    -40.080     32.730
   4857.140    -21.880    262.110     14.000     49.710    -51.220     29.930
   4928.570    -18.540    258.180     16.080     44.860    -60.430     25.900
   5000.000    -15.490    253.510     17.790     42.870    -70.800     21.370
   5071.430    -12.640    248.110     19.090     37.000    -80.070     14.590
   5142.860     -9.850    242.110     19.910     36.850    -88.500      5.160
   5214.290     -7.410    235.550     19.960     29.930    -92.830     -6.110
   5285.710     -5.130    228.930     18.960     32.290    -89.500    -19.830
   5357.140     -2.720    222.390     17.430     36.910    -89.560    -23.520
   5428.570     -0.190    215.530     15.880     37.290    -98.980    -21.080
   5500.000      2.320    207.900     14.410     35.760   -113.130    -18.350
   5571.430      4.720    199.280     13.120     32.340   -129.950    -15.760
   5642.860      6.730    189.100     11.690     24.210   -151.520    -20.350
   5714.290      7.980    177.410      9.810     10.920   -174.890    -32.400
   5785.710      8.140    163.170      6.920    -11.860   -222.740    -49.690
   5857.140      4.220    144.620      1.560   -171.750   -232.820    -87.660
   5928.570     -4.430    135.210     -0.780    -81.190    -73.050    -13.940
   6000.000     -6.940    132.120     -0.140     24.730    -35.430     24.110
   6071.430     -5.020    131.690      2.050     78.950     -0.040     48.380
   6142.860      0.170    133.570      5.150    125.470     42.330     72.750
   6214.290      8.390    138.400      9.760    192.180    137.000    118.530
   6285.710     21.770    144.430     19.310     37.420    -44.520     31.890
   6357.140     23.010    139.980     18.780     41.610    -50.470     22.600
   6428.570     25.460    137.900     19.840     41.880    -26.800     18.420
   6500.000     28.680    136.940     22.200     42.700    -20.410     21.860
   6571.430     31.910    134.990     24.300     41.740    -31.150     21.800
   6642.860     34.600    133.200     26.490     39.720    -23.300     33.850
   6714.290     37.550    131.610     29.570     38.150    -25.970     33.810
   6785.710     40.280    129.510     32.340     43.460    -27.690     40.540
   6857.140     44.480    125.250     35.900     40.570    -31.580     29.290
   6928.570     46.560    122.800     37.420     42.020    -31.290     24.070
   7000.000     49.350    120.630     39.070     37.410    -28.810     22.490
   7071.430     52.410    119.020     40.690     37.990    -23.270     30.240
   7142.860     55.190    117.370     42.450     33.090    -21.450     20.970
   7214.290     57.670    115.680     43.760     36.460    -24.670     22.220
   7285.710     60.280    114.020     45.350     32.320    -27.300     21.500
   7357.140     62.790    112.070     47.030     30.530    -26.070     22.820
   7428.570     65.250    110.380     48.920     30.310    -24.040     26.970
   7500.000     67.530    108.650     50.730     29.540    -25.230     24.580
   7571.430     69.580    106.590     52.530     28.090    -27.910     23.540
   7642.860     71.500    104.590     54.100     30.750    -25.530     30.240
   7714.290     73.660    102.950     55.840     28.070    -21.780     25.610
   7785.710     75.390    101.250     57.130     28.620    -20.980     18.810
   7857.140     77.240    100.240     58.190     30.190    -16.840     18.870
   7928.570     79.470     99.190     59.300     32.890    -20.190     18.240
   8000.000     81.750     97.900     60.600     36.390    -16.900     21.720
   8071.430     84.300     96.970     62.220     37.310    -17.410     23.040
   8142.860     86.810     96.000     63.650     37.950    -19.830     22.980
   8214.290     89.550     94.640     65.770     37.710    -17.160     29.690
   8285.710     92.540     93.440     68.230     40.830    -17.010     35.230
   8357.140     95.110     92.290     70.420     40.440    -23.280     38.950
   8428.570     98.030     90.600     73.020     37.800    -23.010     37.160
   8500.000    100.450     89.100     75.070     34.590    -25.190     32.590
   8571.430    103.050     87.310     77.270     32.650    -24.990     26.240
   8642.860    105.450     85.650     79.170     32.710    -25.730     26.810
