#         t          x          y          z         vx         vy         vz
      0.000    -98.510   -120.040   -127.800    -30.000    173.770     91.580
      0.000    -99.918   -111.245   -123.105    -26.339    178.037     96.226
      0.050   -101.133   -102.234   -118.170    -22.242    182.388    101.162
      0.100   -102.130    -93.004   -112.981    -17.642    186.806    106.414
      0.150   -102.883    -83.552   -107.520    -12.460    191.268    112.011
      0.200   -103.359    -73.877   -101.770     -6.605    195.738    117.980
      0.250   -103.524    -63.980    -95.712      0.033    200.161    124.349
      0.300   -103.333    -53.864    -89.325      7.585    204.463    131.141
      0.350   -102.739    -43.539    -82.587     16.200    208.535    138.371
      0.400   -101.682    -33.020    -75.477     26.048    212.224    146.037
      0.450   -100.098    -22.332    -67.973     37.317    215.315    154.110
      0.500    -97.910    -11.511    -60.058     50.196    217.516    162.513
      0.550    -95.034     -0.612    -51.717     64.853    218.437    171.094
      0.600    -91.378     10.288    -42.950     81.380    217.579    179.597
      0.650    -86.851     21.086    -33.770     99.714    214.352    187.622
      0.700    -81.370     31.649    -24.214    119.528    208.140    194.610
      0.750    -74.878     41.814    -14.352    140.131    198.454    199.882
      0.800    -67.364     51.404     -4.286    160.445    185.141    202.751
      0.850    -58.874     60.247      5.843    179.152    168.596    202.384
      0.900    -49.521     68.208     15.877    194.965    149.857    199.002
      0.950    -39.468     75.209     25.680    207.179    130.172    193.103
      1.000    -28.896     81.231     35.142    215.682    110.715    185.368
      1.050    -17.983     86.308     44.189    220.823     92.342    176.525
      1.100     -6.883     90.505     52.782    223.185     75.541    167.191
      1.150      4.281     93.905     60.907    223.398     60.493    157.815
      1.200     15.417     96.597     68.569    222.021     47.181    148.687
      1.250     26.455     98.664     75.786    219.513     35.483    139.972
      1.300     37.349    100.182     82.579    216.223     25.229    131.750
      1.350     48.064    101.219     88.974    212.411     16.242    124.047
      1.400     58.581    101.833     94.997    208.267      8.351    116.858
      1.450     68.886    102.077    100.672    203.926      1.407    110.161
      1.500     78.971    101.994    106.024    199.484     -4.724    103.921
      1.550     88.834    101.622    111.075    195.008    -10.155     98.106
      1.600     98.473    100.994    115.844    190.547    -14.981     92.678
      1.650    107.889    100.137    120.351    186.131    -19.285     87.604
      1.700    117.087     99.077    124.613    181.783    -23.135     82.853
      1.750    126.070     97.834    128.644    177.518    -26.589     78.394
      1.800    134.841     96.427    132.459    173.343    -29.697     74.202
      1.850    143.407     94.872    136.070    169.265    -32.501     70.253
      1.900    151.770     93.183    139.490    165.284    -35.037     66.526
      1.950    159.937     91.374    142.728    161.402    -37.335     63.000
      2.000    167.913     89.455    145.794    157.618    -39.422     59.660
      2.050    175.702     87.436    148.698    153.930    -41.321     56.490
      2.100    183.308     85.327    151.447    150.334    -43.052     53.475
      2.150    190.737     83.135    154.049    146.829    -44.630     50.605
      2.200    197.993     80.867    156.511    143.410    -46.073     47.866
      2.250    205.080     78.531    158.839    140.075    -47.392     45.250
      2.300    212.003     76.131    161.039    136.819    -48.599     42.747
      2.350    218.764     73.674    163.116    133.641    -49.704     40.349
      2.400    225.369     71.163    165.076    130.536    -50.717     38.049
      2.450    231.820     68.604    166.923    127.501    -51.645     35.840
      2.500    238.120     66.000    168.662    124.533    -52.495     33.715
      2.550    244.275     63.356    170.297    121.629    -53.273     31.670
      2.600    250.285     60.675    171.831    118.786    -53.986     29.699
      2.650    256.155     57.959    173.269    116.002    -54.639     27.797
      2.700    261.886     55.212    174.613    113.273    -55.235     25.961
      2.750    267.483     52.437    175.866    110.597    -55.779     24.185
      2.800    272.947     49.636    177.033    107.973    -56.275     22.468
      2.850    278.282     46.811    178.114    105.396    -56.725     20.804
      2.900    283.488     43.964    179.114    102.867    -57.134     19.192
      2.950    288.569     41.098    180.035    100.381    -57.504     17.628
      3.000    293.527     38.215    180.878     97.938    -57.837     16.110
      3.050    298.364     35.315    181.647     95.535    -58.135     14.635
      3.100    303.082     32.402    182.343     93.171    -58.401     13.201
      3.150    307.682     29.476    182.968     90.844    -58.637     11.807
      3.200    312.167     26.539    183.524     88.552    -58.844     10.449
      3.250    316.538     23.592    184.014     86.294    -59.024      9.126
      3.300    320.797     20.637    184.438     84.069    -59.179      7.837
      3.350    324.946     17.675    184.798     81.874    -59.309      6.580
      3.400    328.985     14.707    185.097     79.710    -59.416      5.353
      3.450    332.918     11.734    185.334     77.573    -59.501      4.155
      3.500    336.744      8.757    185.513     75.464    -59.566      2.985
      3.550    340.465      5.778    185.633     73.382    -59.611      1.841
      3.600    344.082      2.797    185.697     71.324    -59.636      0.722
      3.650    347.598     -0.185    185.706     69.290    -59.644     -0.372
      3.700    351.012     -3.167    185.661     67.279    -59.634     -1.443
      3.750    354.326     -6.148    185.562     65.290    -59.608     -2.492
      3.800    357.541     -9.128    185.412     63.322    -59.566     -3.520
      3.850    360.659    -12.104    185.211     61.374    -59.508     -4.527
      3.900    363.679    -15.078    184.960     59.446    -59.436     -5.514
      3.950    366.604    -18.048    184.660     57.536    -59.349     -6.483
      4.000    369.433    -21.013    184.312     55.644    -59.249     -7.433
      4.050    372.169    -23.972    183.917     53.768    -59.135     -8.366
      4.100    374.811    -26.926    183.476     51.909    -59.008     -9.283
      4.150    377.360    -29.873    182.989     50.066    -58.869    -10.183
      4.200    379.818    -32.812    182.458     48.237    -58.718    -11.067
      4.250    382.184    -35.744    181.883     46.423    -58.555    -11.936
      4.300    384.460    -38.668    181.265     44.622    -58.380    -12.791
      4.350    386.646    -41.582    180.604     42.834    -58.194    -13.632
      4.400    388.744    -44.487    179.902     41.058    -57.997    -14.459
      4.450    390.753    -47.381    179.159     39.294    -57.789    -15.273
      4.500    392.673    -50.265    178.375     37.541    -57.570    -16.075
      4.550    394.507    -53.138    177.551     35.799    -57.341    -16.864
      4.600    396.254    -55.999    176.689     34.067    -57.102    -17.642
      4.650    397.914    -58.848    175.787     32.344    -56.853    -18.408
      4.700    399.488    -61.684    174.848     30.631    -56.594    -19.163
      4.750    400.977    -64.507    173.871     28.926    -56.325    -19.907
      4.800    402.381    -67.317    172.858     27.229    -56.047    -20.641
      4.850    403.700    -70.112    171.808     25.540    -55.759    -21.365
      4.900    404.935    -72.892    170.721     23.858    -55.462    -22.079
      4.950    406.086    -75.658    169.600     22.183    -55.155    -22.783
      5.000    407.154    -78.407    168.443     20.514    -54.839    -23.478
      5.050    408.138    -81.141    167.252     18.851    -54.513    -24.165
      5.100    409.039    -83.859    166.027     17.193    -54.178    -24.842
      5.150    409.857    -86.559    164.768     15.541    -53.835    -25.511
