#         t          x          y          z         vx         vy         vz
      0.000    -98.510   -120.040   -127.800    -30.000    173.770     91.580
      0.000    -98.540   -119.866   -127.708    -29.931    173.854     91.670
      0.001    -98.570   -119.692   -127.617    -29.861    173.939     91.761
      0.002    -98.600   -119.518   -127.525    -29.791    174.024     91.851
      0.003    -98.629   -119.344   -127.433    -29.722    174.108     91.942
      0.004    -98.659   -119.170   -127.341    -29.652    174.193     92.032
      0.005    -98.689   -118.996   -127.249    -29.581    174.277     92.123
      0.006    -98.718   -118.822   -127.157    -29.511    174.362     92.214
      0.007    -98.748   -118.647   -127.064    -29.441    174.447     92.305
      0.008    -98.777   -118.473   -126.972    -29.370    174.532     92.396
      0.009    -98.807   -118.298   -126.880    -29.299    174.616     92.488
      0.010    -98.836   -118.123   -126.787    -29.228    174.701     92.579
      0.011    -98.865   -117.949   -126.695    -29.157    174.786     92.671
      0.012    -98.894   -117.774   -126.602    -29.086    174.871     92.762
      0.013    -98.923   -117.599   -126.509    -29.015    174.956     92.854
      0.014    -98.952   -117.424   -126.416    -28.943    175.041     92.946
      0.015    -98.981   -117.249   -126.323    -28.871    175.126     93.037
      0.016    -99.010   -117.074   -126.230    -28.799    175.211     93.129
      0.017    -99.039   -116.898   -126.137    -28.727    175.296     93.222
      0.018    -99.067   -116.723   -126.044    -28.655    175.381     93.314
      0.019    -99.096   -116.548   -125.950    -28.583    175.467     93.406
      0.020    -99.124   -116.372   -125.857    -28.510    175.552     93.499
      0.021    -99.153   -116.197   -125.763    -28.438    175.637     93.591
      0.022    -99.181   -116.021   -125.670    -28.365    175.722     93.684
      0.023    -99.210   -115.845   -125.576    -28.292    175.808     93.777
      0.024    -99.238   -115.669   -125.482    -28.219    175.893     93.870
      0.025    -99.266   -115.493   -125.388    -28.145    175.978     93.963
      0.026    -99.294   -115.317   -125.294    -28.072    176.064     94.056
      0.027    -99.322   -115.141   -125.200    -27.998    176.149     94.149
      0.028    -99.350   -114.965   -125.106    -27.924    176.235     94.242
      0.029    -99.378   -114.789   -125.011    -27.850    176.320     94.336
      0.030    -99.406   -114.612   -124.917    -27.776    176.406     94.429
      0.031    -99.434   -114.436   -124.823    -27.702    176.491     94.523
      0.032    -99.461   -114.259   -124.728    -27.627    176.577     94.617
      0.033    -99.489   -114.083   -124.633    -27.553    176.663     94.711
      0.034    -99.516   -113.906   -124.539    -27.478    176.748     94.805
      0.035    -99.544   -113.729   -124.444    -27.403    176.834     94.899
      0.036    -99.571   -113.552   -124.349    -27.328    176.920     94.993
      0.037    -99.599   -113.375   -124.254    -27.253    177.006     95.087
      0.038    -99.626   -113.198   -124.159    -27.177    177.092     95.182
      0.039    -99.653   -113.021   -124.063    -27.101    177.178     95.276
      0.040    -99.680   -112.844   -123.968    -27.026    177.263     95.371
      0.041    -99.707   -112.667   -123.873    -26.950    177.349     95.466
      0.042    -99.734   -112.489   -123.777    -26.873    177.435     95.561
      0.043    -99.761   -112.312   -123.682    -26.797    177.521     95.656
      0.044    -99.787   -112.134   -123.586    -26.721    177.607     95.751
      0.045    -99.814   -111.957   -123.490    -26.644    177.694     95.846
      0.046    -99.841   -111.779   -123.394    -26.567    177.780     95.942
      0.047    -99.867   -111.601   -123.298    -26.490    177.866     96.037
      0.048    -99.894   -111.423   -123.202    -26.413    177.952     96.133
      0.049    -99.920   -111.245   -123.106    -26.335    178.038     96.229
      0.050    -99.946   -111.067   -123.010    -26.258    178.124     96.324
      0.051    -99.973   -110.889   -122.913    -26.180    178.211     96.420
      0.052    -99.999   -110.711   -122.817    -26.102    178.297     96.516
      0.053   -100.025   -110.532   -122.720    -26.024    178.383     96.613
      0.054   -100.051   -110.354   -122.624    -25.946    178.470     96.709
      0.055   -100.077   -110.175   -122.527    -25.868    178.556     96.805
      0.056   -100.103   -109.997   -122.430    -25.789    178.643     96.902
      0.057   -100.128   -109.818   -122.333    -25.710    178.729     96.999
      0.058   -100.154   -109.639   -122.236    -25.631    178.816     97.095
      0.059   -100.180   -109.460   -122.139    -25.552    178.902     97.192
      0.060   -100.205   -109.282   -122.042    -25.473    178.989     97.289
      0.061   -100.230   -109.102   -121.944    -25.393    179.076     97.386
      0.062   -100.256   -108.923   -121.847    -25.314    179.162     97.484
      0.063   -100.281   -108.744   -121.749    -25.234    179.249     97.581
      0.064   -100.306   -108.565   -121.652    -25.154    179.336     97.679
      0.065   -100.331   -108.386   -121.554    -25.073    179.422     97.776
      0.066   -100.356   -108.206   -121.456    -24.993    179.509     97.874
      0.067   -100.381   -108.026   -121.358    -24.912    179.596     97.972
      0.068   -100.406   -107.847   -121.260    -24.832    179.683     98.070
      0.069   -100.431   -107.667   -121.162    -24.751    179.770     98.168
      0.070   -100.456   -107.487   -121.064    -24.669    179.857     98.266
      0.071   -100.480   -107.307   -120.966    -24.588    179.943     98.364
      0.072   -100.505   -107.127   -120.867    -24.507    180.030     98.463
      0.073   -100.529   -106.947   -120.769    -24.425    180.117     98.561
      0.074   -100.554   -106.767   -120.670    -24.343    180.204     98.660
      0.075   -100.578   -106.587   -120.571    -24.261    180.292     98.759
      0.076   -100.602   -106.407   -120.472    -24.179    180.379     98.858
      0.077   -100.626   -106.226   -120.374    -24.096    180.466     98.957
      0.078   -100.651   -106.046   -120.275    -24.014    180.553     99.056
      0.079   -100.674   -105.865   -120.175    -23.931    180.640     99.155
      0.080   -100.698   -105.684   -120.076    -23.848    180.727     99.255
      0.081   -100.722   -105.504   -119.977    -23.765    180.815     99.354
      0.082   -100.746   -105.323   -119.878    -23.681    180.902     99.454
      0.083   -100.770   -105.142   -119.778    -23.598    180.989     99.554
      0.084   -100.793   -104.961   -119.678    -23.514    181.076     99.654
      0.085   -100.817   -104.780   -119.579    -23.430    181.164     99.754
      0.086   -100.840   -104.598   -119.479    -23.346    181.251     99.854
      0.087   -100.863   -104.417   -119.379    -23.261    181.339     99.954
      0.088   -100.886   -104.236   -119.279    -23.177    181.426    100.055
      0.089   -100.910   -104.054   -119.179    -23.092    181.514    100.155
      0.090   -100.933   -103.873   -119.079    -23.007    181.601    100.256
      0.091   -100.956   -103.691   -118.978    -22.922    181.689    100.357
      0.092   -100.979   -103.509   -118.878    -22.837    181.776    100.458
