NUMBER OF AGES= 1 MAGS=10
----------------------------------------------------       
MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
 1.9380  0.2452 1.3168E-04 1.7223E-04  -2.00  -0.20 
----------------------------------------------------       
**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
----------------------------------------------------       
AGE=10.000 EEPS=267
#EEP   M    LogTeff  LogG   LogL U       B       V       R       I       J       H       Ks      Kp      D51
  13  0.113901  3.5500  5.3302 -2.6824 16.2381 14.3687 12.6654 11.6818 10.8131  9.7157  9.2517  9.1336 11.8583 13.4260
  14  0.125434  3.5626  5.2852 -2.5450 15.4327 13.8267 12.2246 11.2828 10.4711  9.4091  8.9161  8.7883 11.4700 12.9167
  15  0.138677  3.5741  5.2413 -2.4118 14.7405 13.3151 11.8036 10.9044 10.1347  9.1094  8.5955  8.4606 11.0956 12.4362
  16  0.152892  3.5825  5.2034 -2.2979 14.2115 12.9025 11.4558 10.5903  9.8464  8.8491  8.3231  8.1815 10.7817 12.0449
  17  0.166851  3.5881  5.1732 -2.2074 13.8257 12.5934 11.1889 10.3466  9.6180  8.6391  8.1065  7.9597 10.5371 11.7479
  18  0.179736  3.5920  5.1488 -2.1347 13.5273 12.3526 10.9780 10.1528  9.4346  8.4689  7.9323  7.7817 10.3422 11.5144
  19  0.192025  3.5953  5.1276 -2.0715 13.2718 12.1467 10.7963  9.9852  9.2753  8.3206  7.7812  7.6274 10.1736 11.3134
  20  0.204449  3.5984  5.1078 -2.0122 13.0342 11.9541 10.6255  9.8278  9.1255  8.1811  7.6395  7.4831 10.0150 11.1250
  21  0.217549  3.6013  5.0889 -1.9549 12.8105 11.7703 10.4614  9.6760  8.9808  8.0461  7.5032  7.3446  9.8623 10.9449
  22  0.232244  3.6042  5.0704 -1.8963 12.5913 11.5847 10.2945  9.5211  8.8328  7.9078  7.3641  7.2038  9.7062 10.7631
  23  0.250490  3.6075  5.0502 -1.8303 12.3499 11.3766 10.1063  9.3460  8.6657  7.7516  7.2075  7.0460  9.5300 10.5590
  24  0.283272  3.6127  5.0182 -1.7239 11.9688 11.0437  9.8036  9.0638  8.3962  7.4997  6.9562  6.7937  9.2459 10.2323
  25  0.302656  3.6155  5.0068 -1.6727 11.7805 10.8810  9.6561  8.9271  8.2660  7.3789  6.8365  6.6743  9.1081 10.0725
  26  0.310844  3.6166  5.0037 -1.6537 11.7099 10.8201  9.6011  8.8762  8.2178  7.3343  6.7926  6.6306  9.0569 10.0128
  27  0.316100  3.6172  5.0015 -1.6415 11.6645 10.7810  9.5656  8.8434  8.1866  7.3054  6.7640  6.6022  9.0238  9.9743
  28  0.319600  3.6177  4.9994 -1.6326 11.6320 10.7529  9.5402  8.8197  8.1641  7.2846  6.7434  6.5817  8.9999  9.9467
  29  0.322147  3.6181  4.9973 -1.6254 11.6059 10.7303  9.5196  8.8006  8.1460  7.2677  6.7268  6.5652  8.9807  9.9245
  30  0.324467  3.6185  4.9951 -1.6187 11.5813 10.7090  9.5002  8.7827  8.1289  7.2519  6.7111  6.5496  8.9627  9.9034
  31  0.327161  3.6189  4.9928 -1.6113 11.5539 10.6853  9.4787  8.7627  8.1098  7.2342  6.6936  6.5322  8.9425  9.8801
  32  0.330871  3.6194  4.9901 -1.6017 11.5195 10.6554  9.4513  8.7373  8.0856  7.2116  6.6713  6.5101  8.9169  9.8506
  33  0.336456  3.6201  4.9866 -1.5882 11.4719 10.6138  9.4133  8.7017  8.0517  7.1798  6.6399  6.4789  8.8810  9.8097
  34  0.345254  3.6211  4.9813 -1.5676 11.3990 10.5500  9.3547  8.6469  7.9993  7.1309  6.5915  6.4310  8.8259  9.7467
  35  0.363215  3.6235  4.9680 -1.5225 11.2353 10.4080  9.2252  8.5265  7.8848  7.0244  6.4867  6.3271  8.7046  9.6070
  36  0.386030  3.6277  4.9470 -1.4582 10.9916 10.1993  9.0370  8.3532  7.7214  6.8743  6.3396  6.1824  8.5298  9.4026
  37  0.402515  3.6314  4.9292 -1.4075 10.7942 10.0319  8.8868  8.2160  7.5927  6.7572  6.2258  6.0710  8.3911  9.2390
  38  0.419721  3.6357  4.9094 -1.3523 10.5710  9.8448  8.7203  8.0647  7.4519  6.6304  6.1032  5.9519  8.2382  9.0567
  39  0.439343  3.6415  4.8865 -1.2863 10.2911  9.6145  8.5178  7.8826  7.2841  6.4816  5.9610  5.8146  8.0539  8.8339
  40  0.454415  3.6466  4.8686 -1.2334 10.0601  9.4265  8.3536  7.7356  7.1496  6.3635  5.8493  5.7076  7.9049  8.6529
  41  0.465560  3.6509  4.8550 -1.1920  9.8745  9.2777  8.2244  7.6205  7.0447  6.2724  5.7637  5.6261  7.7881  8.5106
