NUMBER OF AGES= 1 MAGS=10
----------------------------------------------------       
MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
 1.9380  0.2452 1.3168E-04 1.7223E-04  -2.00  -0.20 
----------------------------------------------------       
**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
----------------------------------------------------       
AGE= 4.000 EEPS=270
#EEP   M    LogTeff  LogG   LogL U       B       V       R       I       J       H       Ks      Kp      D51
   8  0.104789  3.5384  5.3711 -2.8057 17.0667 14.8622 13.0677 12.0469 11.1142  9.9889  9.5591  9.4548 12.2070 13.8903
   9  0.114521  3.5502  5.3300 -2.6787 16.2188 14.3555 12.6542 11.6714 10.8040  9.7073  9.2428  9.1244 11.8483 13.4136
  10  0.125416  3.5621  5.2879 -2.5498 15.4622 13.8468 12.2406 11.2969 10.4832  9.4195  8.9277  8.8003 11.4838 12.9355
  11  0.139940  3.5744  5.2420 -2.4069 14.7175 13.2973 11.7885 10.8907 10.1223  9.0983  8.5840  8.4489 11.0821 12.4194
  12  0.162288  3.5858  5.1924 -2.2475 13.9907 12.7268 11.3051 10.4533  9.7188  8.7327  8.2032  8.0589 10.6443 11.8767
  13  0.190018  3.5942  5.1490 -2.1021 13.3847 12.2402 10.8806 10.0641  9.3516  8.3933  7.8560  7.7040 10.2531 11.4056
  14  0.210753  3.5993  5.1199 -2.0077 13.0027 11.9318 10.6081  9.8134  9.1133  8.1719  7.6315  7.4751 10.0005 11.1043
  15  0.227328  3.6027  5.0985 -1.9395 12.7392 11.7133 10.4127  9.6327  8.9409  8.0112  7.4692  7.3106  9.8185 10.8903
  16  0.243354  3.6057  5.0792 -1.8787 12.5144 11.5212 10.2394  9.4716  8.7871  7.8675  7.3248  7.1646  9.6563 10.7020
  17  0.263456  3.6092  5.0570 -1.8082 12.2590 11.2999 10.0389  9.2848  8.6087  7.7006  7.1577  6.9964  9.4684 10.4850
  18  0.285971  3.6126  5.0342 -1.7359 12.0017 11.0745  9.8335  9.0932  8.4254  7.5291  6.9866  6.8246  9.2754 10.2635
  19  0.300977  3.6148  5.0228 -1.6936 11.8484 10.9417  9.7128  8.9809  8.3184  7.4292  6.8874  6.7255  9.1623 10.1330
