NUMBER OF AGES= 1 MAGS=10
----------------------------------------------------       
MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
 1.9380  0.2452 1.3168E-04 1.7223E-04  -2.00  -0.20 
----------------------------------------------------       
**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
----------------------------------------------------       
AGE= 5.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51
   9  0.104784  3.5385  5.3708 -2.8051 17.0613 14.8595 13.0655 12.0450 11.1127  9.9876  9.5575  9.4531 12.2052 13.8878
  10  0.114655  3.5505  5.3290 -2.6764 16.2034 14.3459 12.6466 11.6645 10.7983  9.7021  9.2370  9.1184 11.8416 13.4046
  11  0.125806  3.5626  5.2862 -2.5449 15.4342 13.8271 12.2246 11.2826 10.4708  9.4086  8.9158  8.7881 11.4698 12.9170
  12  0.140483  3.5749  5.2400 -2.4014 14.6899 13.2763 11.7711 10.8752 10.1083  9.0858  8.5708  8.4354 11.0666 12.3996
  13  0.161267  3.5855  5.1929 -2.2519 14.0098 12.7420 11.3182 10.4651  9.7299  8.7428  8.2136  8.0695 10.6562 11.8913
  14  0.184947  3.5930  5.1535 -2.1233 13.4732 12.3107 10.9423 10.1207  9.4050  8.4426  7.9060  7.7549 10.3100 11.4742
  15  0.203643  3.5978  5.1255 -2.0344 13.1119 12.0198 10.6856  9.8846  9.1807  8.2342  7.6943  7.5391 10.0722 11.1902
  16  0.218849  3.6011  5.1043 -1.9683 12.8517 11.8070 10.4961  9.7095  9.0139  8.0787  7.5371  7.3792  9.8959 10.9817
  17  0.233579  3.6040  5.0854 -1.9095 12.6308 11.6205 10.3285  9.5539  8.8654  7.9400  7.3974  7.2378  9.7393 10.7990
  18  0.249416  3.6069  5.0669 -1.8511 12.4169 11.4364 10.1621  9.3991  8.7175  7.8018  7.2587  7.0978  9.5834 10.6186
  19  0.272656  3.6107  5.0418 -1.7719 12.1331 11.1889  9.9373  9.1895  8.5171  7.6142  7.0710  6.9092  9.3724 10.3756
  20  0.293800  3.6139  5.0229 -1.7079 11.9039 10.9890  9.7551  9.0198  8.3550  7.4627  6.9203  6.7581  9.2015 10.1792
  21  0.305022  3.6155  5.0161 -1.6786 11.7967 10.8962  9.6710  8.9416  8.2806  7.3936  6.8518  6.6898  9.1228 10.0880
  22  0.311565  3.6163  5.0124 -1.6623 11.7374 10.8448  9.6243  8.8983  8.2393  7.3551  6.8137  6.6519  9.0791 10.0375
  23  0.315988  3.6168  5.0109 -1.6524 11.7005 10.8131  9.5955  8.8717  8.2140  7.3318  6.7908  6.6291  9.0523 10.0063
  24  0.319369  3.6173  5.0091 -1.6443 11.6707 10.7872  9.5720  8.8499  8.1933  7.3125  6.7716  6.6100  9.0303  9.9808
  25  0.321865  3.6177  5.0065 -1.6368 11.6447 10.7644  9.5511  8.8304  8.1746  7.2950  6.7542  6.5927  9.0107  9.9584
  26  0.324068  3.6180  5.0039 -1.6300 11.6206 10.7433  9.5318  8.8121  8.1572  7.2786  6.7380  6.5765  8.9924  9.9375
  27  0.326495  3.6183  5.0012 -1.6227 11.5947 10.7207  9.5110  8.7928  8.1387  7.2613  6.7207  6.5593  8.9729  9.9152
  28  0.329737  3.6188  4.9983 -1.6137 11.5632 10.6932  9.4858  8.7693  8.1161  7.2402  6.6999  6.5385  8.9492  9.8880
  29  0.334649  3.6193  4.9949 -1.6014 11.5190 10.6547  9.4506  8.7364  8.0848  7.2108  6.6708  6.5097  8.9161  9.8501
  30  0.343095  3.6204  4.9895 -1.5811 11.4464 10.5913  9.3926  8.6824  8.0334  7.1628  6.6234  6.4627  8.8616  9.7877
  31  0.429393  3.6369  4.9138 -1.3417 10.5201  9.8042  8.6857  8.0343  7.4246  6.6074  6.0820  5.9316  8.2075  9.0180
  32  0.446391  3.6421  4.8945 -1.2853 10.2788  9.6062  8.5119  7.8782  7.2810  6.4804  5.9610  5.8150  8.0494  8.8266
  33  0.461432  3.6471  4.8775 -1.2336 10.0512  9.4214  8.3507  7.7343  7.1494  6.3652  5.8521  5.7109  7.9034  8.6488
  34  0.474126  3.6520  4.8630 -1.1878  9.8441  9.2562  8.2077  7.6071  7.0337  6.2650  5.7583  5.6215  7.7742  8.4909
  35  0.485336  3.6567  4.8506 -1.1464  9.6477  9.1042  8.0775  7.4917  6.9291  6.1751  5.6751  5.5428  7.6568  8.3470
  36  0.495963  3.6614  4.8394 -1.1068  9.4544  8.9578  7.9533  7.3817  6.8297  6.0905  5.5972  5.4694  7.5450  8.2096
  37  0.506087  3.6661  4.8292 -1.0691  9.2674  8.8173  7.8351  7.2773  6.7355  6.0107  5.5245  5.4010  7.4385  8.0795
  38  0.515055  3.6706  4.8208 -1.0353  9.0956  8.6896  7.7289  7.1836  6.6514  5.9401  5.4608  5.3414  7.3427  7.9628
  39  0.523648  3.6750  4.8131 -1.0024  8.9259  8.5654  7.6263  7.0932  6.5704  5.8726  5.4005  5.2849  7.2502  7.8503
  40  0.532864  3.6801  4.8054 -0.9672  8.7413  8.4313  7.5166  6.9966  6.4840  5.8011  5.3371  5.2259  7.1514  7.7304
  41  0.543771  3.6861  4.7966 -0.9258  8.5245  8.2730  7.3882  6.8837  6.3837  5.7187  5.2646  5.1585  7.0357  7.5909
  42  0.557180  3.6934  4.7860 -0.8751  8.2636  8.0824  7.2345  6.7480  6.2628  5.6192  5.1772  5.0771  6.8964  7.4252
  43  0.572188  3.7019  4.7748 -0.8183  7.9740  7.8704  7.0652  6.5980  6.1291  5.5092  5.0813  4.9877  6.7424  7.2436
  44  0.588122  3.7109  4.7630 -0.7583  7.6770  7.6502  6.8897  6.4425  5.9906  5.3956  4.9824  4.8956  6.5822  7.0562
  45  0.604403  3.7200  4.7506 -0.6980  7.3936  7.4365  6.7186  6.2896  5.8536  5.2823  4.8835  4.8031  6.4249  6.8744
  46  0.620627  3.7288  4.7380 -0.6387  7.1287  7.2313  6.5536  6.1416  5.7208  5.1722  4.7870  4.7130  6.2725  6.7001
  47  0.636551  3.7373  4.7252 -0.5812  6.8853  7.0367  6.3954  5.9997  5.5935  5.0662  4.6932  4.6253  6.1261  6.5335
  48  0.651774  3.7451  4.7126 -0.5268  6.6670  6.8580  6.2483  5.8673  5.4743  4.9660  4.6045  4.5420  5.9896  6.3790
  49  0.665948  3.7522  4.7002 -0.4767  6.4749  6.6975  6.1146  5.7462  5.3646  4.8733  4.5219  4.4644  5.8650  6.2390
  50  0.679033  3.7586  4.6884 -0.4309  6.3041  6.5521  5.9930  5.6365  5.2656  4.7890  4.4463  4.3934  5.7518  6.1117
  51  0.691133  3.7645  4.6774 -0.3887  6.1508  6.4197  5.8821  5.5366  5.1758  4.7125  4.3773  4.3287  5.6486  5.9955
  52  0.696811  3.7672  4.6722 -0.3690  6.0815  6.3591  5.8307  5.4899  5.1335  4.6765  4.3451  4.2984  5.6005  5.9418
  53  0.702477  3.7700  4.6672 -0.3495  6.0135  6.2993  5.7798  5.4436  5.0913  4.6408  4.3134  4.2686  5.5527  5.8886
  54  0.708092  3.7727  4.6623 -0.3301  5.9468  6.2401  5.7294  5.3978  5.0498  4.6056  4.2823  4.2393  5.5056  5.8361
  55  0.713658  3.7755  4.6576 -0.3110  5.8813  6.1818  5.6797  5.3526  5.0089  4.5711  4.2518  4.2106  5.4590  5.7842
  56  0.719178  3.7782  4.6529 -0.2920  5.8173  6.1242  5.6307  5.3082  4.9687  4.5370  4.2217  4.1822  5.4131  5.7330
  57  0.724656  3.7809  4.6483 -0.2733  5.7546  6.0677  5.5822  5.2642  4.9289  4.5032  4.1918  4.1541  5.3676  5.6825
  58  0.730088  3.7836  4.6436 -0.2547  5.6932  6.0118  5.5343  5.2207  4.8896  4.4699  4.1623  4.1263  5.3228  5.6325
  59  0.735483  3.7862  4.6389 -0.2363  5.6329  5.9564  5.4870  5.1778  4.8508  4.4370  4.1332  4.0989  5.2786  5.5831
  60  0.740836  3.7888  4.6341 -0.2181  5.5736  5.9017  5.4402  5.1356  4.8126  4.4044  4.1042  4.0716  5.2348  5.5344
  61  0.746153  3.7912  4.6291 -0.2001  5.5155  5.8477  5.3940  5.0936  4.7748  4.3720  4.0753  4.0444  5.1914  5.4863
  62  0.751437  3.7937  4.6239 -0.1822  5.4593  5.7948  5.3482  5.0518  4.7367  4.3393  4.0463  4.0168  5.1483  5.4387
  63  0.756669  3.7960  4.6186 -0.1645  5.4046  5.7428  5.3028  5.0102  4.6986  4.3066  4.0172  3.9891  5.1054  5.3916
  64  0.761855  3.7983  4.6130 -0.1469  5.3509  5.6914  5.2578  4.9690  4.6608  4.2740  3.9880  3.9613  5.0630  5.3450
  65  0.766990  3.8005  4.6074 -0.1294  5.2975  5.6404  5.2137  4.9286  4.6241  4.2419  3.9589  3.9338  5.0213  5.2991
  66  0.772076  3.8026  4.6017 -0.1122  5.2444  5.5897  5.1702  4.8891  4.5883  4.2104  3.9299  3.9065  4.9805  5.2538
  67  0.777113  3.8047  4.5959 -0.0952  5.1925  5.5398  5.1272  4.8501  4.5528  4.1791  3.9010  3.8792  4.9400  5.2091
  68  0.782091  3.8068  4.5901 -0.0784  5.1422  5.4909  5.0847  4.8113  4.5174  4.1479  3.8725  3.8522  4.8998  5.1650
  69  0.787015  3.8088  4.5842 -0.0618  5.0939  5.4432  5.0426  4.7725  4.4817  4.1166  3.8444  3.8252  4.8598  5.1215
  70  0.791874  3.8108  4.5784 -0.0456  5.0471  5.3964  5.0010  4.7341  4.4461  4.0856  3.8168  3.7985  4.8204  5.0788
  71  0.796663  3.8127  4.5727 -0.0296  5.0017  5.3507  4.9603  4.6962  4.4112  4.0551  3.7897  3.7723  4.7816  5.0368
  72  0.801381  3.8145  4.5671 -0.0139  4.9573  5.3060  4.9204  4.6592  4.3771  4.0253  3.7632  3.7466  4.7435  4.9956
  73  0.805990  3.8163  4.5615  0.0013  4.9143  5.2625  4.8816  4.6233  4.3439  3.9962  3.7372  3.7215  4.7066  4.9557
  74  0.810490  3.8180  4.5560  0.0160  4.8728  5.2203  4.8440  4.5883  4.3116  3.9678  3.7118  3.6969  4.6707  4.9168
  75  0.814898  3.8197  4.5506  0.0305  4.8326  5.1792  4.8072  4.5541  4.2800  3.9400  3.6870  3.6728  4.6357  4.8789
  76  0.819215  3.8213  4.5451  0.0446  4.7934  5.1390  4.7712  4.5207  4.2491  3.9128  3.6625  3.6491  4.6013  4.8419
  77  0.823450  3.8228  4.5398  0.0583  4.7551  5.0995  4.7359  4.4879  4.2188  3.8860  3.6385  3.6257  4.5676  4.8056
  78  0.827629  3.8244  4.5344  0.0719  4.7176  5.0607  4.7010  4.4556  4.1889  3.8595  3.6148  3.6027  4.5344  4.7697
  79  0.831752  3.8259  4.5292  0.0854  4.6807  5.0223  4.6667  4.4237  4.1593  3.8334  3.5914  3.5800  4.5015  4.7343
  80  0.835836  3.8274  4.5239  0.0988  4.6441  4.9841  4.6325  4.3919  4.1300  3.8075  3.5682  3.5573  4.4689  4.6991
  81  0.839892  3.8289  4.5187  0.1121  4.6078  4.9461  4.5984  4.3603  4.1008  3.7817  3.5451  3.5349  4.4365  4.6641
  82  0.846308  3.8312  4.5105  0.1333  4.5503  4.8857  4.5444  4.3101  4.0544  3.7410  3.5087  3.4995  4.3848  4.6085
  83  0.852902  3.8338  4.5022  0.1552  4.4909  4.8230  4.4883  4.2582  4.0067  3.6991  3.4715  3.4633  4.3313  4.5508
  84  0.859709  3.8365  4.4942  0.1776  4.4299  4.7580  4.4304  4.2047  3.9578  3.6565  3.4341  3.4269  4.2763  4.4912
  85  0.866590  3.8394  4.4861  0.2006  4.3682  4.6918  4.3715  4.1504  3.9080  3.6134  3.3964  3.3901  4.2202  4.4305
  86  0.873429  3.8422  4.4780  0.2235  4.3066  4.6253  4.3123  4.0960  3.8583  3.5703  3.3588  3.3535  4.1640  4.3694
  87  0.880134  3.8451  4.4699  0.2464  4.2457  4.5594  4.2536  4.0419  3.8090  3.5278  3.3216  3.3172  4.1083  4.3088
  88  0.886643  3.8479  4.4620  0.2687  4.1858  4.4943  4.1959  3.9888  3.7606  3.4859  3.2853  3.2818  4.0533  4.2492
  89  0.892919  3.8507  4.4542  0.2907  4.1275  4.4307  4.1393  3.9368  3.7132  3.4450  3.2498  3.2471  3.9995  4.1910
  90  0.898942  3.8534  4.4465  0.3120  4.0709  4.3687  4.0842  3.8860  3.6670  3.4050  3.2149  3.2130  3.9471  4.1341
  91  0.904714  3.8560  4.4389  0.3330  4.0159  4.3083  4.0303  3.8364  3.6218  3.3659  3.1809  3.1797  3.8958  4.0788
  92  0.910281  3.8586  4.4312  0.3535  3.9622  4.2491  3.9774  3.7876  3.5773  3.3274  3.1472  3.1466  3.8454  4.0243
  93  0.915664  3.8611  4.4237  0.3736  3.9096  4.1911  3.9253  3.7395  3.5335  3.2891  3.1139  3.1138  3.7958  3.9707
  94  0.920888  3.8635  4.4162  0.3935  3.8578  4.1336  3.8739  3.6921  3.4902  3.2517  3.0811  3.0817  3.7468  3.9178
  95  0.925971  3.8660  4.4090  0.4131  3.8068  4.0766  3.8230  3.6454  3.4478  3.2148  3.0490  3.0502  3.6983  3.8653
  96  0.930926  3.8686  4.4019  0.4327  3.7565  4.0197  3.7727  3.5991  3.4060  3.1787  3.0178  3.0196  3.6504  3.8134
  97  0.935769  3.8711  4.3950  0.4521  3.7072  3.9627  3.7228  3.5541  3.3657  3.1442  2.9882  2.9908  3.6033  3.7617
  98  0.940502  3.8738  4.3884  0.4715  3.6584  3.9055  3.6733  3.5096  3.3264  3.1105  2.9594  2.9631  3.5567  3.7103
  99  0.945134  3.8765  4.3819  0.4907  3.6098  3.8484  3.6239  3.4653  3.2873  3.0773  2.9313  2.9360  3.5103  3.6592
 100  0.949673  3.8792  4.3757  0.5099  3.5612  3.7915  3.5748  3.4212  3.2482  3.0443  2.9035  2.9090  3.4639  3.6081
 101  0.954116  3.8819  4.3694  0.5290  3.5116  3.7354  3.5253  3.3763  3.2083  3.0106  2.8750  2.8811  3.4171  3.5569
 102  0.958461  3.8847  4.3633  0.5482  3.4611  3.6799  3.4756  3.3308  3.1673  2.9762  2.8460  2.8523  3.3698  3.5059
 103  0.962705  3.8874  4.3572  0.5672  3.4107  3.6249  3.4262  3.2853  3.1264  2.9420  2.8170  2.8234  3.3228  3.4549
 104  0.966847  3.8901  4.3510  0.5862  3.3605  3.5704  3.3770  3.2401  3.0859  2.9080  2.7883  2.7947  3.2760  3.4044
 105  0.970888  3.8928  4.3448  0.6049  3.3110  3.5160  3.3285  3.1958  3.0461  2.8747  2.7600  2.7668  3.2299  3.3545
 106  0.974829  3.8954  4.3384  0.6236  3.2627  3.4619  3.2808  3.1525  3.0077  2.8423  2.7325  2.7397  3.1846  3.3052
 107  0.978674  3.8979  4.3318  0.6420  3.2152  3.4086  3.2339  3.1098  2.9697  2.8101  2.7050  2.7127  3.1400  3.2566
 108  0.982428  3.9004  4.3250  0.6603  3.1684  3.3560  3.1876  3.0678  2.9324  2.7782  2.6775  2.6856  3.0960  3.2088
 109  0.986091  3.9027  4.3179  0.6782  3.1222  3.3045  3.1420  3.0264  2.8953  2.7462  2.6497  2.6583  3.0528  3.1617
 110  0.989663  3.9049  4.3104  0.6960  3.0769  3.2543  3.0971  2.9853  2.8583  2.7141  2.6214  2.6304  3.0100  3.1155
 111  0.993075  3.9071  4.3034  0.7133  3.0322  3.2049  3.0531  2.9452  2.8224  2.6831  2.5942  2.6036  2.9681  3.0701
 112  0.994065  3.9078  4.3017  0.7185  3.0189  3.1901  3.0400  2.9334  2.8120  2.6742  2.5867  2.5960  2.9556  3.0566
 113  0.995052  3.9086  4.2999  0.7236  3.0055  3.1751  3.0270  2.9216  2.8016  2.6654  2.5792  2.5886  2.9433  3.0429
 114  0.996037  3.9093  4.2981  0.7289  2.9920  3.1601  3.0137  2.9097  2.7911  2.6565  2.5716  2.5811  2.9308  3.0293
 115  0.997018  3.9101  4.2962  0.7341  2.9784  3.1452  3.0005  2.8976  2.7805  2.6476  2.5638  2.5736  2.9183  3.0156
 116  0.997997  3.9108  4.2942  0.7394  2.9647  3.1300  2.9871  2.8855  2.7696  2.6382  2.5557  2.5656  2.9055  3.0017
 117  0.998971  3.9115  4.2920  0.7448  2.9509  3.1148  2.9735  2.8732  2.7586  2.6287  2.5473  2.5573  2.8926  2.9878
 118  0.999941  3.9121  4.2897  0.7502  2.9369  3.0996  2.9599  2.8606  2.7474  2.6189  2.5386  2.5486  2.8796  2.9738
 119  1.000904  3.9127  4.2871  0.7556  2.9227  3.0843  2.9461  2.8479  2.7357  2.6086  2.5293  2.5396  2.8663  2.9595
 120  1.001863  3.9133  4.2843  0.7611  2.9084  3.0688  2.9320  2.8350  2.7240  2.5980  2.5198  2.5301  2.8529  2.9452
 121  1.002816  3.9139  4.2814  0.7667  2.8941  3.0533  2.9179  2.8218  2.7119  2.5873  2.5099  2.5203  2.8393  2.9308
 122  1.003765  3.9144  4.2783  0.7723  2.8795  3.0377  2.9037  2.8086  2.6996  2.5762  2.4997  2.5102  2.8255  2.9161
 123  1.004710  3.9149  4.2751  0.7780  2.8649  3.0219  2.8893  2.7952  2.6872  2.5648  2.4892  2.4999  2.8117  2.9015
 124  1.005651  3.9154  4.2717  0.7837  2.8501  3.0061  2.8748  2.7815  2.6746  2.5533  2.4785  2.4893  2.7977  2.8867
 125  1.006588  3.9159  4.2682  0.7895  2.8353  2.9902  2.8602  2.7678  2.6617  2.5415  2.4675  2.4784  2.7834  2.8717
 126  1.007521  3.9163  4.2646  0.7953  2.8202  2.9742  2.8454  2.7539  2.6487  2.5295  2.4562  2.4672  2.7691  2.8567
 127  1.008450  3.9167  4.2609  0.8012  2.8051  2.9581  2.8306  2.7399  2.6355  2.5173  2.4447  2.4557  2.7547  2.8416
 128  1.009376  3.9172  4.2570  0.8071  2.7899  2.9419  2.8156  2.7255  2.6221  2.5047  2.4328  2.4440  2.7401  2.8262
 129  1.010299  3.9175  4.2529  0.8131  2.7745  2.9255  2.8003  2.7111  2.6084  2.4919  2.4206  2.4319  2.7252  2.8108
 130  1.011217  3.9179  4.2487  0.8192  2.7590  2.9091  2.7850  2.6966  2.5946  2.4788  2.4081  2.4195  2.7103  2.7952
 131  1.012131  3.9182  4.2443  0.8253  2.7434  2.8926  2.7696  2.6817  2.5805  2.4655  2.3953  2.4068  2.6952  2.7795
 132  1.013041  3.9186  4.2397  0.8316  2.7276  2.8758  2.7539  2.6667  2.5662  2.4519  2.3822  2.3938  2.6798  2.7636
 133  1.013946  3.9188  4.2349  0.8378  2.7117  2.8591  2.7380  2.6515  2.5514  2.4377  2.3686  2.3801  2.6643  2.7476
 134  1.014842  3.9190  4.2296  0.8441  2.6958  2.8423  2.7220  2.6359  2.5363  2.4230  2.3541  2.3658  2.6484  2.7314
 135  1.015734  3.9191  4.2242  0.8505  2.6797  2.8254  2.7057  2.6199  2.5208  2.4078  2.3392  2.3509  2.6324  2.7149
