NUMBER OF AGES= 1 MAGS=10
----------------------------------------------------       
MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
 1.9380  0.2452 1.3168E-04 1.7223E-04  -2.00  -0.20 
----------------------------------------------------       
**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
----------------------------------------------------       
AGE=12.000 EEPS=267
#EEP   M    LogTeff  LogG   LogL U       B       V       R       I       J       H       Ks      Kp      D51
  13  0.105362  3.5397  5.3656 -2.7926 16.9688 14.8079 13.0236 12.0072 11.0825  9.9602  9.5259  9.4197 12.1696 13.8395
  14  0.115871  3.5524  5.3212 -2.6560 16.0747 14.2644 12.5809 11.6050 10.7483  9.6571  9.1869  9.0663 11.7841 13.3279
  15  0.127481  3.5648  5.2765 -2.5206 15.3006 13.7316 12.1469 11.2128 10.4099  9.3544  8.8570  8.7280 11.4012 12.8276
  16  0.140011  3.5752  5.2353 -2.3971 14.6700 13.2610 11.7583 10.8637 10.0977  9.0760  8.5602  8.4244 11.0550 12.3851
  17  0.152572  3.5825  5.2013 -2.2965 14.2065 12.8983 11.4520 10.5867  9.8430  8.8459  8.3195  8.1778 10.7781 12.0408
  18  0.164642  3.5875  5.1738 -2.2163 13.8638 12.6238 11.2152 10.3704  9.6403  8.6594  8.1272  7.9810 10.5610 11.7772
  19  0.176179  3.5911  5.1509 -2.1489 13.5872 12.4002 11.0196 10.1907  9.4704  8.5019  7.9657  7.8157 10.3804 11.5606
  20  0.187716  3.5943  5.1301 -2.0878 13.3393 12.2007 10.8435 10.0286  9.3163  8.3584  7.8194  7.6662 10.2172 11.3659
  21  0.199803  3.5974  5.1102 -2.0285 13.1021 12.0086 10.6734  9.8716  9.1670  8.2192  7.6780  7.5222 10.0593 11.1781
  22  0.212728  3.6004  5.0910 -1.9702 12.8721 11.8207 10.5062  9.7171  9.0197  8.0820  7.5392  7.3811  9.9036 10.9941
  23  0.227543  3.6034  5.0719 -1.9098 12.6431 11.6286 10.3337  9.5572  8.8671  7.9395  7.3956  7.2356  9.7427 10.8059
  24  0.246039  3.6068  5.0514 -1.8419 12.3931 11.4138 10.1397  9.3769  8.6950  7.7787  7.2344  7.0730  9.5611 10.5954
  25  0.280547  3.6124  5.0182 -1.7293 11.9885 11.0608  9.8191  9.0783  8.4098  7.5123  6.9686  6.8061  9.2604 10.2490
  26  0.302614  3.6156  5.0050 -1.6706 11.7727 10.8743  9.6500  8.9215  8.2606  7.3739  6.8314  6.6692  9.1024 10.0659
  27  0.310969  3.6167  5.0018 -1.6512 11.7006 10.8122  9.5939  8.8696  8.2114  7.3284  6.7866  6.6246  9.0502 10.0050
  28  0.316219  3.6173  4.9997 -1.6389 11.6552 10.7731  9.5584  8.8367  8.1803  7.2995  6.7582  6.5963  9.0170  9.9665
