NUMBER OF AGES= 1 MAGS=10
----------------------------------------------------       
MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
 1.9380  0.2452 1.3168E-04 1.7223E-04  -2.00  -0.20 
----------------------------------------------------       
**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
----------------------------------------------------       
AGE=13.000 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51
  14  0.111949  3.5479  5.3370 -2.7050 16.3806 14.4582 12.7383 11.7481 10.8689  9.7662  9.3077  9.1917 11.9223 13.5105
  15  0.123035  3.5604  5.2923 -2.5693 15.5669 13.9218 12.3023 11.3529 10.5321  9.4633  8.9748  8.8483 11.5387 13.0059
  16  0.134957  3.5714  5.2501 -2.4428 14.8964 13.4330 11.9010 10.9917 10.2133  9.1793  8.6695  8.5363 11.1825 12.5469
  17  0.146958  3.5797  5.2144 -2.3370 14.3880 13.0418 11.5741 10.6975  9.9457  8.9392  8.4165  8.2773 10.8891 12.1776
  18  0.158543  3.5852  5.1855 -2.2532 14.0202 12.7494 11.3238 10.4698  9.7336  8.7455  8.2156  8.0714 10.6609 11.8979
  19  0.169691  3.5893  5.1616 -2.1835 13.7293 12.5151 11.1201 10.2831  9.5578  8.5829  8.0485  7.9004 10.4733 11.6719
  20  0.180783  3.5925  5.1403 -2.1214 13.4761 12.3108 10.9406 10.1179  9.4012  8.4373  7.8997  7.7482 10.3072 11.4732
  21  0.192383  3.5956  5.1201 -2.0619 13.2369 12.1176 10.7698  9.9604  9.2514  8.2977  7.7576  7.6031 10.1487 11.2846
  22  0.204788  3.5987  5.1005 -2.0030 13.0017 11.9267 10.6004  9.8042  9.1027  8.1591  7.6170  7.4601  9.9913 11.0979
  23  0.218713  3.6017  5.0812 -1.9430 12.7678 11.7343 10.4286  9.6453  8.9511  8.0177  7.4742  7.3151  9.8312 10.9092
  24  0.235408  3.6050  5.0612 -1.8782 12.5268 11.5291 10.2438  9.4736  8.7872  7.8647  7.3205  7.1597  9.6584 10.7082
  25  0.262241  3.6096  5.0339 -1.7856 12.1898 11.2371  9.9794  9.2276  8.5524  7.6456  7.1012  6.9390  9.4108 10.4220
  26  0.296584  3.6148  5.0071 -1.6846 11.8249 10.9192  9.6907  8.9591  8.2964  7.4070  6.8641  6.7017  9.1404 10.1099
  27  0.307907  3.6163  5.0023 -1.6573 11.7232 10.8318  9.6116  8.8859  8.2269  7.3427  6.8006  6.6385  9.0667 10.0242
  28  0.314286  3.6171  4.9999 -1.6426 11.6688 10.7848  9.5691  8.8467  8.1897  7.3082  6.7667  6.6048  9.0270  9.9779
  29  0.318360  3.6177  4.9977 -1.6327 11.6319 10.7529  9.5402  8.8199  8.1643  7.2848  6.7435  6.5818  9.0001  9.9467
  30  0.321209  3.6181  4.9957 -1.6251 11.6036 10.7286  9.5181  8.7995  8.1449  7.2668  6.7259  6.5642  8.9796  9.9227
  31  0.323601  3.6185  4.9938 -1.6183 11.5784 10.7069  9.4985  8.7813  8.1277  7.2509  6.7101  6.5486  8.9612  9.9013
  32  0.326173  3.6190  4.9917 -1.6111 11.5518 10.6840  9.4778  8.7622  8.1095  7.2341  6.6935  6.5322  8.9419  9.8788
  33  0.329525  3.6194  4.9893 -1.6024 11.5201 10.6565  9.4528  8.7390  8.0875  7.2136  6.6733  6.5121  8.9186  9.8518
  34  0.334359  3.6200  4.9864 -1.5908 11.4786 10.6204  9.4197  8.7082  8.0581  7.1862  6.6462  6.4852  8.8875  9.8162
  35  0.341600  3.6208  4.9823 -1.5742 11.4200 10.5690  9.3726  8.6640  8.0159  7.1467  6.6073  6.4465  8.8431  9.7656
  36  0.352456  3.6221  4.9751 -1.5482 11.3282 10.4888  9.2989  8.5952  7.9501  7.0852  6.5465  6.3863  8.7738  9.6865
  37  0.367130  3.6243  4.9629 -1.5096 11.1873 10.3668  9.1878  8.4921  7.8522  6.9942  6.4570  6.2979  8.6699  9.5665
  38  0.379640  3.6266  4.9503 -1.4729 11.0486 10.2478  9.0804  8.3932  7.7588  6.9084  6.3729  6.2151  8.5700  9.4499
  39  0.389427  3.6289  4.9387 -1.4415 10.9275 10.1448  8.9879  8.3083  7.6790  6.8356  6.3017  6.1453  8.4844  9.3491
  40  0.398175  3.6310  4.9276 -1.4124 10.8140 10.0484  8.9014  8.2291  7.6050  6.7681  6.2360  6.0810  8.4045  9.2549
  41  0.408642  3.6335  4.9143 -1.3776 10.6780  9.9333  8.7983  8.1349  7.5167  6.6880  6.1582  6.0051  8.3094  9.1426
  42  0.423863  3.6376  4.8952 -1.3262 10.4669  9.7574  8.6424  7.9938  7.3857  6.5706  6.0452  5.8954  8.1666  8.9716
  43  0.440937  3.6431  4.8751 -1.2673 10.2126  9.5496  8.4602  7.8305  7.2358  6.4384  5.9194  5.7745  8.0012  8.7708
  44  0.454229  3.6478  4.8589 -1.2193 10.0023  9.3788  8.3113  7.6972  7.1140  6.3316  5.8185  5.6779  7.8660  8.6067
  45  0.463940  3.6516  4.8465 -1.1822  9.8350  9.2451  8.1954  7.5940  7.0200  6.2499  5.7419  5.6051  7.7613  8.4790
  46  0.472473  3.6554  4.8357 -1.1483  9.6768  9.1219  8.0895  7.5000  6.9346  6.1762  5.6735  5.5402  7.6657  8.3621
  47  0.480373  3.6591  4.8257 -1.1163  9.5222  9.0039  7.9890  7.4110  6.8539  6.1072  5.6098  5.4800  7.5750  8.2510
  48  0.488101  3.6629  4.8163 -1.0845  9.3661  8.8864  7.8895  7.3229  6.7744  6.0395  5.5478  5.4216  7.4853  8.1412
  49  0.495852  3.6669  4.8069 -1.0525  9.2078  8.7672  7.7894  7.2344  6.6945  5.9719  5.4861  5.3635  7.3950  8.0312
  50  0.503747  3.6711  4.7978 -1.0199  9.0443  8.6453  7.6876  7.1442  6.6133  5.9033  5.4240  5.3052  7.3030  7.9197
  51  0.511542  3.6755  4.7890 -0.9868  8.8761  8.5219  7.5853  7.0539  6.5321  5.8352  5.3630  5.2481  7.2106  7.8079
  52  0.516256  3.6783  4.7839 -0.9667  8.7721  8.4461  7.5229  6.9987  6.4827  5.7941  5.3263  5.2138  7.1543  7.7399
  53  0.520960  3.6811  4.7788 -0.9465  8.6672  8.3697  7.4604  6.9436  6.4332  5.7530  5.2899  5.1798  7.0977  7.6718
  54  0.525658  3.6840  4.7739 -0.9261  8.5607  8.2919  7.3972  6.8880  6.3838  5.7123  5.2539  5.1463  7.0408  7.6031
  55  0.530346  3.6869  4.7690 -0.9056  8.4551  8.2146  7.3345  6.8326  6.3345  5.6716  5.2182  5.1130  6.9841  7.5353
  56  0.535033  3.6898  4.7641 -0.8850  8.3489  8.1367  7.2717  6.7772  6.2851  5.6310  5.1826  5.0799  6.9273  7.4675
  57  0.539713  3.6928  4.7592 -0.8645  8.2437  8.0599  7.2098  6.7223  6.2361  5.5905  5.1469  5.0466  6.8710  7.4009
  58  0.544398  3.6958  4.7543 -0.8439  8.1391  7.9834  7.1484  6.6677  6.1872  5.5500  5.1114  5.0134  6.8150  7.3348
  59  0.549066  3.6987  4.7493 -0.8233  8.0363  7.9077  7.0876  6.6137  6.1387  5.5098  5.0762  4.9803  6.7594  7.2699
  60  0.553720  3.7017  4.7442 -0.8029  7.9351  7.8326  7.0272  6.5600  6.0908  5.4700  5.0412  4.9476  6.7043  7.2054
  61  0.558324  3.7046  4.7392 -0.7825  7.8352  7.7581  6.9675  6.5069  6.0434  5.4308  5.0067  4.9153  6.6498  7.1417
  62  0.562885  3.7075  4.7342 -0.7622  7.7371  7.6846  6.9085  6.4545  5.9966  5.3919  4.9725  4.8834  6.5958  7.0788
  63  0.567397  3.7104  4.7292 -0.7421  7.6408  7.6126  6.8507  6.4027  5.9502  5.3535  4.9388  4.8519  6.5427  7.0174
