#NUMBER OF AGES= 1 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2452 1.3168E-04 1.7223E-04  -2.00  -0.20 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       
#AGE=13.500 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51
  14  0.110140  3.5457  5.3445 -2.7282 16.5302 14.5499 12.8130 11.8161 10.9256  9.8177  9.3651  9.2515 11.9874 13.5969
  15  0.121016  3.5583  5.2998 -2.5923 15.6974 14.0126 12.3763 11.4196 10.5899  9.5149  9.0309  8.9056 11.6040 13.0911
  16  0.132677  3.5696  5.2572 -2.4647 15.0082 13.5165 11.9700 11.0536 10.2687  9.2286  8.7220  8.5900 11.2439 12.6254
  17  0.144435  3.5783  5.2208 -2.3567 14.4790 13.1130 11.6342 10.7518  9.9954  8.9841  8.4634  8.3253 10.9433 12.2451
  18  0.155787  3.5841  5.1911 -2.2709 14.0962 12.8102 11.3762 10.5176  9.7784  8.7866  8.2580  8.1148 10.7088 11.9563
  19  0.166739  3.5884  5.1666 -2.2000 13.7977 12.5703 11.1682 10.3273  9.5995  8.6215  8.0881  7.9408 10.5177 11.7252
  20  0.177615  3.5917  5.1451 -2.1373 13.5415 12.3632 10.9868 10.1603  9.4414  8.4747  7.9378  7.7871 10.3499 11.5243
  21  0.188971  3.5948  5.1248 -2.0777 13.3008 12.1692 10.8155 10.0024  9.2913  8.3348  7.7953  7.6416 10.1910 11.3350
  22  0.201136  3.5978  5.1051 -2.0187 13.0646 11.9779 10.6458  9.8460  9.1424  8.1961  7.6545  7.4981 10.0335 11.1479
  23  0.214712  3.6009  5.0855 -1.9586 12.8284 11.7844 10.4733  9.6867  8.9906  8.0545  7.5113  7.3527  9.8730 10.9583
  24  0.230738  3.6041  5.0656 -1.8948 12.5882 11.5816 10.2911  9.5175  8.8292  7.9038  7.3596  7.1992  9.7027 10.7597
  25  0.252918  3.6081  5.0426 -1.8160 12.2995 11.3327 10.0662  9.3084  8.6296  7.7175  7.1732  7.0113  9.4922 10.5158
  26  0.291428  3.6141  5.0096 -1.6975 11.8724 10.9603  9.7279  8.9936  8.3292  7.4373  6.8941  6.7316  9.1751 10.1502
  27  0.306231  3.6161  5.0026 -1.6607 11.7360 10.8428  9.6216  8.8952  8.2357  7.3509  6.8087  6.6465  9.0760 10.0349
  28  0.313248  3.6171  5.0000 -1.6446 11.6761 10.7912  9.5749  8.8520  8.1948  7.3130  6.7714  6.6094  9.0325  9.9843
  29  0.317673  3.6176  4.9979 -1.6340 11.6366 10.7571  9.5441  8.8234  8.1676  7.2879  6.7466  6.5849  9.0037  9.9508
  30  0.320703  3.6181  4.9959 -1.6260 11.6070 10.7316  9.5209  8.8021  8.1474  7.2691  6.7282  6.5665  8.9822  9.9257
  31  0.323138  3.6185  4.9938 -1.6191 11.5816 10.7097  9.5011  8.7837  8.1300  7.2530  6.7123  6.5508  8.9637  9.9041
  32  0.325641  3.6189  4.9919 -1.6121 11.5555 10.6872  9.4807  8.7649  8.1122  7.2366  6.6960  6.5346  8.9447  9.8820
  33  0.328805  3.6194  4.9896 -1.6039 11.5249 10.6609  9.4569  8.7427  8.0911  7.2171  6.6768  6.5155  8.9224  9.8561
  34  0.333297  3.6200  4.9869 -1.5930 11.4858 10.6269  9.4258  8.7138  8.0636  7.1914  6.6513  6.4904  8.8932  9.8225
  35  0.339970  3.6207  4.9831 -1.5777 11.4317 10.5795  9.3822  8.6732  8.0247  7.1550  6.6154  6.4547  8.8523  9.7759
  36  0.349805  3.6218  4.9769 -1.5545 11.3505 10.5082  9.3168  8.6119  7.9662  7.1002  6.5613  6.4010  8.7907  9.7057
  37  0.363515  3.6237  4.9660 -1.5193 11.2229 10.3974  9.2157  8.5179  7.8766  7.0170  6.4793  6.3199  8.6959  9.5966
  38  0.375953  3.6259  4.9539 -1.4836 11.0893 10.2827  9.1118  8.4220  7.7860  6.9333  6.3973  6.2391  8.5992  9.4840
  39  0.385701  3.6281  4.9426 -1.4528 10.9712 10.1820  9.0213  8.3389  7.7078  6.8618  6.3274  6.1704  8.5153  9.3854
  40  0.394049  3.6301  4.9320 -1.4249 10.8630 10.0900  8.9388  8.2634  7.6370  6.7973  6.2643  6.1087  8.4390  9.2955
  41  0.402149  3.6320  4.9213 -1.3976 10.7568  9.9997  8.8577  8.1891  7.5674  6.7338  6.2027  6.0484  8.3641  9.2074
  42  0.414500  3.6352  4.9054 -1.3560 10.5914  9.8606  8.7334  8.0759  7.4617  6.6382  6.1100  5.9583  8.2496  9.0716
  43  0.430478  3.6397  4.8861 -1.3017 10.3631  9.6721  8.5673  7.9261  7.3234  6.5153  5.9924  5.8445  8.0981  8.8888
  44  0.446594  3.6452  4.8668 -1.2449 10.1156  9.4704  8.3910  7.7685  7.1790  6.3883  5.8720  5.7290  7.9384  8.6946
  45  0.457640  3.6493  4.8529 -1.2039  9.9343  9.3240  8.2635  7.6546  7.0750  6.2974  5.7863  5.6472  7.8228  8.5542
  46  0.466514  3.6530  4.8414 -1.1692  9.7765  9.1987  8.1553  7.5582  6.9874  6.2215  5.7153  5.5797  7.7249  8.4349
  47  0.474585  3.6566  4.8311 -1.1368  9.6226  9.0801  8.0536  7.4681  6.9055  6.1511  5.6501  5.5180  7.6331  8.3226
  48  0.482298  3.6603  4.8214 -1.1052  9.4692  8.9636  7.9546  7.3804  6.8262  6.0833  5.5877  5.4591  7.5439  8.2131
  49  0.489873  3.6642  4.8121 -1.0738  9.3147  8.8472  7.8564  7.2935  6.7477  6.0166  5.5267  5.4017  7.4554  8.1048
  50  0.497477  3.6681  4.8029 -1.0422  9.1576  8.7295  7.7576  7.2060  6.6688  5.9499  5.4659  5.3445  7.3661  7.9964
  51  0.505126  3.6722  4.7940 -1.0101  8.9964  8.6097  7.6577  7.1177  6.5893  5.8829  5.4055  5.2878  7.2759  7.8872
  52  0.509839  3.6750  4.7886 -0.9900  8.8943  8.5347  7.5956  7.0628  6.5399  5.8415  5.3683  5.2529  7.2197  7.8193
  53  0.514527  3.6777  4.7834 -0.9699  8.7909  8.4591  7.5333  7.0077  6.4906  5.8002  5.3315  5.2185  7.1635  7.7513
  54  0.519198  3.6805  4.7784 -0.9496  8.6852  8.3825  7.4707  6.9524  6.4411  5.7592  5.2951  5.1846  7.1069  7.6830
  55  0.523846  3.6834  4.7733 -0.9294  8.5806  8.3059  7.4082  6.8973  6.3919  5.7185  5.2591  5.1510  7.0505  7.6152
  56  0.528479  3.6863  4.7685 -0.9090  8.4746  8.2283  7.3454  6.8419  6.3425  5.6780  5.2234  5.1177  6.9937  7.5471
  57  0.533104  3.6892  4.7635 -0.8885  8.3692  8.1511  7.2829  6.7868  6.2935  5.6375  5.1879  5.0847  6.9372  7.4797
  58  0.537731  3.6922  4.7586 -0.8680  8.2637  8.0741  7.2209  6.7320  6.2444  5.5970  5.1524  5.0516  6.8808  7.4129
  59  0.542341  3.6951  4.7537 -0.8475  8.1598  7.9979  7.1597  6.6775  6.1958  5.5567  5.1170  5.0184  6.8251  7.3472
  60  0.546944  3.6981  4.7487 -0.8271  8.0569  7.9225  7.0991  6.6236  6.1474  5.5166  5.0819  4.9855  6.7697  7.2822
  61  0.551516  3.7010  4.7436 -0.8067  7.9562  7.8478  7.0391  6.5703  6.0997  5.4769  5.0470  4.9529  6.7150  7.2181
  62  0.556053  3.7039  4.7385 -0.7865  7.8569  7.7738  6.9796  6.5174  6.0526  5.4379  5.0126  4.9207  6.6607  7.1547
  63  0.560539  3.7068  4.7335 -0.7663  7.7593  7.7007  6.9209  6.4653  6.0060  5.3993  4.9786  4.8889  6.6070  7.0922
  64  0.564970  3.7097  4.7286 -0.7464  7.6635  7.6290  6.8634  6.4139  5.9600  5.3611  4.9451  4.8576  6.5542  7.0311
  65  0.569344  3.7125  4.7235 -0.7266  7.5701  7.5587  6.8068  6.3633  5.9145  5.3233  4.9120  4.8265  6.5022  6.9710
  66  0.573658  3.7153  4.7185 -0.7070  7.4789  7.4899  6.7515  6.3136  5.8697  5.2860  4.8793  4.7958  6.4511  6.9123
  67  0.577909  3.7181  4.7135 -0.6877  7.3905  7.4223  6.6971  6.2648  5.8257  5.2492  4.8468  4.7655  6.4008  6.8546
  68  0.582099  3.7208  4.7084 -0.6686  7.3046  7.3563  6.6437  6.2168  5.7824  5.2130  4.8149  4.7354  6.3515  6.7982
  69  0.586223  3.7235  4.7033 -0.6497  7.2212  7.2916  6.5914  6.1696  5.7398  5.1773  4.7833  4.7057  6.3029  6.7428
  70  0.590278  3.7261  4.6981 -0.6311  7.1403  7.2282  6.5399  6.1233  5.6979  5.1422  4.7522  4.6766  6.2552  6.6886
  71  0.594267  3.7287  4.6929 -0.6128  7.0618  7.1661  6.4894  6.0777  5.6568  5.1076  4.7216  4.6477  6.2083  6.6356
  72  0.598190  3.7312  4.6877 -0.5947  6.9858  7.1054  6.4398  6.0329  5.6163  5.0735  4.6912  4.6192  6.1622  6.5836
  73  0.602042  3.7336  4.6824 -0.5769  6.9123  7.0462  6.3911  5.9889  5.5765  5.0399  4.6612  4.5909  6.1170  6.5325
  74  0.605825  3.7360  4.6771 -0.5593  6.8413  6.9882  6.3433  5.9456  5.5374  5.0066  4.6313  4.5627  6.0725  6.4823
  75  0.609529  3.7383  4.6718 -0.5420  6.7723  6.9316  6.2963  5.9032  5.4990  4.9739  4.6020  4.5350  6.0288  6.4331
  76  0.613159  3.7407  4.6665 -0.5250  6.7055  6.8763  6.2504  5.8615  5.4612  4.9417  4.5729  4.5076  5.9860  6.3850
  77  0.616719  3.7429  4.6611 -0.5082  6.6405  6.8224  6.2054  5.8206  5.4240  4.9098  4.5442  4.4805  5.9439  6.3379
  78  0.620202  3.7451  4.6557 -0.4917  6.5775  6.7696  6.1613  5.7805  5.3874  4.8785  4.5160  4.4538  5.9027  6.2917
  79  0.623616  3.7472  4.6503 -0.4755  6.5162  6.7182  6.1180  5.7410  5.3514  4.8475  4.4881  4.4274  5.8622  6.2465
