NUMBER OF AGES= 1 MAGS=10
----------------------------------------------------       
MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
 1.9380  0.2452 1.3168E-04 1.7223E-04  -2.00  -0.20 
----------------------------------------------------       
**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
----------------------------------------------------       
AGE= 2.000 EEPS=274
#EEP,   M,    LogTeff,  LogG,   LogL, U,       B,       V,       R,       I,       J,       H,       Ks,      Kp,      D51
   5  0.105766  3.5395  5.3677 -2.7941 16.9863 14.8160 13.0296 12.0122 11.0859  9.9630  9.5298  9.4240 12.1741 13.8469
   6  0.115167  3.5508  5.3279 -2.6720 16.1788 14.3295 12.6329 11.6519 10.7874  9.6920  9.2262  9.1072 11.8294 13.3891
   7  0.125676  3.5622  5.2875 -2.5482 15.4554 13.8414 12.2359 11.2925 10.4791  9.4158  8.9237  8.7963 11.4794 12.9302
   8  0.140035  3.5743  5.2425 -2.4076 14.7224 13.3004 11.7909 10.8927 10.1238  9.0995  8.5854  8.4504 11.0840 12.4222
   9  0.165584  3.5868  5.1893 -2.2316 13.9229 12.6723 11.2580 10.4102  9.6785  8.6957  8.1653  8.0202 10.6011 11.8245
  10  0.203537  3.5974  5.1378 -2.0483 13.1600 12.0607 10.7233  9.9202  9.2154  8.2678  7.7288  7.5744 10.1080 11.2308
  11  0.232892  3.6035  5.1043 -1.9317 12.7013 11.6830 10.3871  9.6100  8.9203  7.9935  7.4521  7.2934  9.7957 10.8614
  12  0.259170  3.6082  5.0772 -1.8394 12.3610 11.3908 10.1236  9.3653  8.6869  7.7759  7.2339  7.0733  9.5493 10.5753
  13  0.286119  3.6124  5.0516 -1.7539 12.0546 11.1234  9.8805  9.1387  8.4703  7.5734  7.0319  6.8703  9.3211 10.3127
  14  0.301875  3.6147  5.0380 -1.7080 11.8889 10.9796  9.7495  9.0168  8.3539  7.4647  6.9237  6.7622  9.1984 10.1713
  15  0.310294  3.6159  5.0314 -1.6849 11.8063 10.9077  9.6840  8.9557  8.2955  7.4101  6.8695  6.7080  9.1368 10.1005
  16  0.315854  3.6166  5.0258 -1.6687 11.7499 10.8582  9.6385  8.9129  8.2546  7.3714  6.8310  6.6696  9.0938 10.0516
  17  0.319083  3.6170  5.0250 -1.6617 11.7229 10.8352  9.6179  8.8940  8.2367  7.3551  6.8150  6.6536  9.0747 10.0290
  18  0.321840  3.6173  5.0232 -1.6549 11.6988 10.8142  9.5985  8.8759  8.2195  7.3389  6.7989  6.6376  9.0565 10.0083
  19  0.323836  3.6176  5.0198 -1.6477 11.6746 10.7926  9.5786  8.8571  8.2013  7.3216  6.7816  6.6204  9.0376  9.9870
  20  0.325777  3.6179  5.0189 -1.6433 11.6584 10.7786  9.5659  8.8453  8.1901  7.3113  6.7714  6.6102  9.0257  9.9732
  21  0.327721  3.6181  5.0179 -1.6386 11.6409 10.7635  9.5522  8.8327  8.1781  7.3002  6.7605  6.5993  9.0130  9.9583
  22  0.330026  3.6183  5.0131 -1.6295 11.6117 10.7373  9.5277  8.8093  8.1554  7.2784  6.7386  6.5775  8.9895  9.9322
  23  0.332982  3.6187  5.0127 -1.6238 11.5896 10.7184  9.5106  8.7938  8.1407  7.2650  6.7255  6.5645  8.9738  9.9138
  24  0.340705  3.6197  5.0100 -1.6073 11.5283 10.6656  9.4628  8.7496  8.0988  7.2263  6.6874  6.5267  8.9292  9.8619
  25  0.446722  3.6412  4.9063 -1.3001 10.3328  9.6526  8.5543  7.9175  7.3181  6.5150  5.9949  5.8483  8.0890  8.8721
  26  0.462009  3.6462  4.8894 -1.2488 10.1085  9.4701  8.3948  7.7749  7.1877  6.4006  5.8867  5.7445  7.9446  8.6963
  27  0.475229  3.6511  4.8749 -1.2025  9.9002  9.3030  8.2500  7.6461  7.0704  6.2988  5.7911  5.6535  7.8137  8.5365
  28  0.487028  3.6558  4.8623 -1.1603  9.7024  9.1489  8.1176  7.5286  6.9638  6.2070  5.7059  5.5727  7.6942  8.3902
  29  0.498086  3.6605  4.8510 -1.1205  9.5088  9.0017  7.9926  7.4180  6.8636  6.1216  5.6273  5.4984  7.5815  8.2517
  30  0.508369  3.6651  4.8412 -1.0835  9.3251  8.8638  7.8763  7.3152  6.7710  6.0430  5.5557  5.4311  7.4768  8.1235
  31  0.517023  3.6692  4.8335 -1.0518  9.1645  8.7443  7.7767  7.2274  6.6922  5.9770  5.4959  5.3751  7.3871  8.0140
  32  0.525035  3.6732  4.8267 -1.0222  9.0118  8.6319  7.6838  7.1456  6.6189  5.9158  5.4411  5.3238  7.3036  7.9120
  33  0.533789  3.6777  4.8198 -0.9899  8.8436  8.5096  7.5833  7.0571  6.5398  5.8502  5.3829  5.2695  7.2130  7.8020
  34  0.544910  3.6836  4.8115 -0.9497  8.6322  8.3557  7.4581  6.9471  6.4418  5.7695  5.3115  5.2033  7.1003  7.6655
  35  0.560132  3.6915  4.8007 -0.8949  8.3480  8.1479  7.2904  6.7994  6.3105  5.6617  5.2169  5.1153  6.9487  7.4841
  36  0.579010  3.7018  4.7882 -0.8269  7.9980  7.8928  7.0868  6.6194  6.1502  5.5303  5.1026  5.0088  6.7637  7.2653
  37  0.601239  3.7138  4.7739 -0.7483  7.6105  7.6055  6.8580  6.4165  5.9696  5.3823  4.9739  4.8890  6.5549  7.0211
  38  0.626014  3.7267  4.7580 -0.6636  7.2198  7.3076  6.6196  6.2033  5.7785  5.2247  4.8363  4.7607  6.3353  6.7683
  39  0.655770  3.7414  4.7386 -0.5650  6.8013  6.9734  6.3484  5.9606  5.5614  5.0444  4.6777  4.6126  6.0849  6.4826
  40  0.690347  3.7576  4.7153 -0.4547  6.3731  6.6170  6.0534  5.6946  5.3220  4.8435  4.4998  4.4460  5.8107  6.1731
  41  0.726694  3.7739  4.6913 -0.3431  5.9719  6.2688  5.7609  5.4309  5.0847  4.6436  4.3225  4.2800  5.5383  5.8668
  42  0.791328  3.8003  4.6465 -0.1555  5.3622  5.7070  5.2790  4.9934  4.6885  4.3063  4.0235  3.9979  5.0864  5.3646
  43  0.819052  3.8102  4.6272 -0.0814  5.1367  5.4893  5.0911  4.8228  4.5339  4.1727  3.9035  3.8847  4.9098  5.1695
  44  0.835222  3.8158  4.6157 -0.0393  5.0150  5.3675  4.9836  4.7238  4.4432  4.0948  3.8353  3.8189  4.8077  5.0582
  45  0.849208  3.8206  4.6056 -0.0031  4.9116  5.2626  4.8910  4.6387  4.3654  4.0279  3.7768  3.7625  4.7201  4.9625
  46  0.861754  3.8249  4.5966  0.0296  4.8196  5.1681  4.8078  4.5623  4.2957  3.9680  3.7245  3.7121  4.6411  4.8764
  47  0.873402  3.8289  4.5883  0.0599  4.7351  5.0804  4.7303  4.4913  4.2310  3.9126  3.6761  3.6654  4.5679  4.7965
  48  0.885018  3.8329  4.5802  0.0898  4.6522  4.9936  4.6538  4.4211  4.1673  3.8580  3.6288  3.6196  4.4954  4.7175
  49  0.896862  3.8370  4.5723  0.1199  4.5691  4.9058  4.5770  4.3511  4.1039  3.8038  3.5819  3.5744  4.4229  4.6380
  50  0.908788  3.8412  4.5650  0.1497  4.4877  4.8188  4.5006  4.2814  4.0409  3.7504  3.5360  3.5301  4.3507  4.5589
  51  0.920449  3.8453  4.5581  0.1785  4.4096  4.7346  4.4265  4.2137  3.9800  3.6990  3.4923  3.4878  4.2806  4.4822
  52  0.928046  3.8480  4.5538  0.1970  4.3594  4.6800  4.3786  4.1701  3.9406  3.6659  3.4645  3.4606  4.2353  4.4325
  53  0.935560  3.8506  4.5496  0.2154  4.3099  4.6261  4.3313  4.1271  3.9019  3.6334  3.4370  3.4341  4.1906  4.3836
  54  0.943009  3.8533  4.5455  0.2335  4.2611  4.5728  4.2845  4.0845  3.8638  3.6014  3.4101  3.4079  4.1464  4.3352
  55  0.950411  3.8559  4.5415  0.2516  4.2129  4.5199  4.2381  4.0423  3.8260  3.5698  3.3836  3.3821  4.1025  4.2872
  56  0.957736  3.8586  4.5376  0.2694  4.1654  4.4675  4.1921  4.0004  3.7884  3.5383  3.3569  3.3561  4.0591  4.2397
  57  0.964978  3.8612  4.5337  0.2871  4.1188  4.4161  4.1467  3.9590  3.7512  3.5070  3.3306  3.3303  4.0161  4.1928
  58  0.972147  3.8638  4.5299  0.3044  4.0730  4.3652  4.1017  3.9181  3.7145  3.4763  3.3047  3.3050  3.9737  4.1464
  59  0.979256  3.8664  4.5263  0.3216  4.0281  4.3146  4.0574  3.8779  3.6786  3.4461  3.2794  3.2803  3.9317  4.1004
  60  0.986315  3.8690  4.5228  0.3386  3.9838  4.2645  4.0135  3.8382  3.6435  3.4168  3.2549  3.2565  3.8905  4.0551
  61  0.993332  3.8716  4.5197  0.3555  3.9411  4.2140  3.9705  3.8001  3.6103  3.3893  3.2324  3.2349  3.8503  4.0102
  62  1.000324  3.8744  4.5169  0.3722  3.8990  4.1636  3.9280  3.7627  3.5780  3.3628  3.2109  3.2146  3.8107  3.9658
  63  1.007297  3.8772  4.5145  0.3888  3.8571  4.1133  3.8857  3.7257  3.5462  3.3370  3.1903  3.1950  3.7714  3.9216
  64  1.014246  3.8800  4.5124  0.4054  3.8151  4.0633  3.8435  3.6887  3.5146  3.3117  3.1703  3.1760  3.7322  3.8775
  65  1.021144  3.8830  4.5107  0.4217  3.7718  4.0145  3.8012  3.6507  3.4815  3.2853  3.1494  3.1556  3.6925  3.8334
  66  1.027948  3.8859  4.5093  0.4378  3.7282  3.9669  3.7591  3.6127  3.4481  3.2591  3.1288  3.1351  3.6528  3.7899
  67  1.034653  3.8889  4.5082  0.4537  3.6850  3.9202  3.7178  3.5753  3.4153  3.2335  3.1088  3.1151  3.6137  3.7472
  68  1.041218  3.8919  4.5073  0.4692  3.6429  3.8745  3.6774  3.5389  3.3835  3.2089  3.0898  3.0959  3.5757  3.7054
  69  1.047618  3.8948  4.5064  0.4844  3.6030  3.8293  3.6387  3.5047  3.3544  3.1865  3.0728  3.0794  3.5396  3.6650
  70  1.053850  3.8976  4.5056  0.4991  3.5646  3.7852  3.6012  3.4719  3.3267  3.1653  3.0567  3.0638  3.5048  3.6260
  71  1.059881  3.9004  4.5050  0.5133  3.5277  3.7424  3.5653  3.4404  3.3003  3.1452  3.0416  3.0494  3.4714  3.5883
  72  1.065755  3.9032  4.5045  0.5273  3.4918  3.7010  3.5303  3.4101  3.2750  3.1258  3.0271  3.0354  3.4389  3.5517
