NUMBER OF AGES= 1 MAGS=10
----------------------------------------------------       
MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
 1.9380  0.2452 1.3168E-04 1.7223E-04  -2.00  -0.20 
----------------------------------------------------       
**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
----------------------------------------------------       
AGE= 7.000 EEPS=268
#EEP   M    LogTeff  LogG   LogL U       B       V       R       I       J       H       Ks      Kp      D51
  11  0.109657  3.5446  5.3492 -2.7392 16.6055 14.5945 12.8490 11.8487 10.9523  9.8419  9.3926  9.2803 12.0186 13.6389
  12  0.120277  3.5570  5.3059 -2.6065 15.7808 14.0692 12.4220 11.4607 10.6251  9.5463  9.0655  8.9413 11.6441 13.1441
  13  0.133125  3.5694  5.2607 -2.4673 15.0207 13.5258 11.9779 11.0608 10.2752  9.2347  8.7288  8.5970 11.2510 12.6344
  14  0.149286  3.5804  5.2159 -2.3288 14.3476 13.0106 11.5481 10.6743  9.9244  8.9205  8.3974  8.2577 10.8659 12.1481
  15  0.167899  3.5881  5.1772 -2.2084 13.8271 12.5951 11.1907 10.3485  9.6202  8.6416  8.1094  7.9627 10.5392 11.7498
  16  0.184917  3.5932  5.1477 -2.1168 13.4499 12.2913 10.9246 10.1041  9.3888  8.4271  7.8899  7.7384 10.2932 11.4550
  17  0.199492  3.5969  5.1243 -2.0454 13.1612 12.0585 10.7191  9.9147  9.2089  8.2596  7.7196  7.5648 10.1026 11.2277
  18  0.212909  3.6000  5.1044 -1.9845 12.9202 11.8621 10.5445  9.7535  9.0553  8.1165  7.5748  7.4175  9.9403 11.0353
  19  0.226533  3.6028  5.0860 -1.9280 12.7045 11.6821 10.3831  9.6040  8.9127  7.9832  7.4403  7.2812  9.7896 10.8590
  20  0.241615  3.6057  5.0677 -1.8705 12.4923 11.5005 10.2192  9.4517  8.7671  7.8472  7.3037  7.1430  9.6364 10.6810
  21  0.262938  3.6093  5.0443 -1.7957 12.2220 11.2659 10.0065  9.2535  8.5777  7.6700  7.1264  6.9646  9.4368 10.4509
  22  0.289150  3.6134  5.0198 -1.7139 11.9296 11.0103  9.7738  9.0365  8.3705  7.4764  6.9334  6.7711  9.2184 10.1997
  23  0.303540  3.6154  5.0111 -1.6759 11.7903 10.8899  9.6646  8.9352  8.2741  7.3868  6.8447  6.6825  9.1164 10.0815
  24  0.310997  3.6164  5.0083 -1.6588 11.7265 10.8349  9.6149  8.8892  8.2304  7.3464  6.8048  6.6428  9.0700 10.0276
