#     snap       t         K       m_200
       440   6.286   7.956e+21   1.295e+12
       441   6.300   7.890e+21   1.295e+12
       442   6.314   7.860e+21   1.299e+12
       443   6.329   7.754e+21   1.299e+12
       444   6.343   7.793e+21   1.311e+12
       445   6.357   7.601e+21   1.301e+12
       446   6.371   7.579e+21   1.304e+12
       447   6.386   7.588e+21   1.312e+12
       448   6.400   7.644e+21   1.320e+12
       449   6.414   7.441e+21   1.308e+12
       450   6.429   7.500e+21   1.316e+12
       451   6.443   7.322e+21   1.303e+12
       452   6.457   7.393e+21   1.315e+12
       453   6.471   7.465e+21   1.323e+12
       454   6.486   7.446e+21   1.326e+12
       455   6.500   7.166e+21   1.301e+12
       456   6.514   7.400e+21   1.328e+12
       457   6.529   7.239e+21   1.312e+12
       458   6.543   7.297e+21   1.324e+12
       459   6.557   7.268e+21   1.321e+12
       460   6.571   7.359e+21   1.330e+12
       461   6.586   7.355e+21   1.334e+12
       462   6.600   7.296e+21   1.323e+12
       463   6.614   7.201e+21   1.318e+12
       464   6.629   7.283e+21   1.326e+12
       465   6.643   7.175e+21   1.315e+12
       466   6.657   7.300e+21   1.332e+12
       467   6.671   7.237e+21   1.323e+12
       468   6.686   7.033e+21   1.303e+12
       469   6.700   7.194e+21   1.323e+12
       470   6.714   7.264e+21   1.327e+12
       471   6.729   7.083e+21   1.308e+12
       472   6.743   7.126e+21   1.313e+12
       473   6.757   7.179e+21   1.317e+12
       474   6.771   7.231e+21   1.324e+12
       475   6.786   7.330e+21   1.332e+12
       476   6.800   7.399e+21   1.337e+12
       477   6.814   7.100e+21   1.305e+12
       478   6.829   7.116e+21   1.304e+12
       479   6.843   7.222e+21   1.313e+12
       480   6.857   7.276e+21   1.320e+12
       481   6.871   7.257e+21   1.315e+12
       482   6.886   7.115e+21   1.297e+12
       483   6.900   7.172e+21   1.301e+12
       484   6.914   6.982e+21   1.278e+12
       485   6.929   6.945e+21   1.272e+12
       486   6.943   7.322e+21   1.309e+12
       487   6.957   7.184e+21   1.295e+12
       488   6.971   7.192e+21   1.295e+12
       489   6.986   7.206e+21   1.295e+12
       490   7.000   7.363e+21   1.308e+12
       491   7.014   7.221e+21   1.296e+12
       492   7.029   7.385e+21   1.310e+12
       493   7.043   7.391e+21   1.313e+12
       494   7.057   7.262e+21   1.298e+12
       495   7.071   7.142e+21   1.282e+12
       496   7.086   7.181e+21   1.289e+12
       497   7.100   7.155e+21   1.284e+12
       498   7.114   7.149e+21   1.286e+12
       499   7.129   7.378e+21   1.309e+12
       500   7.143   7.095e+21   1.278e+12
       501   7.157   6.928e+21   1.262e+12
       502   7.171   6.885e+21   1.256e+12
       503   7.186   6.887e+21   1.256e+12
       504   7.200   6.847e+21   1.253e+12
       505   7.214   7.069e+21   1.283e+12
       506   7.229   6.835e+21   1.254e+12
       507   7.243   6.927e+21   1.267e+12
       508   7.257   7.004e+21   1.271e+12
       509   7.271   6.857e+21   1.260e+12
       510   7.286   7.070e+21   1.282e+12
       511   7.300   6.699e+21   1.239e+12
       512   7.314   6.685e+21   1.240e+12
       513   7.329   6.878e+21   1.258e+12
       514   7.343   6.662e+21   1.236e+12
       515   7.357   6.695e+21   1.237e+12
       516   7.371   6.849e+21   1.256e+12
       517   7.386   6.433e+21   1.208e+12
       518   7.400   6.738e+21   1.244e+12
       519   7.414   6.431e+21   1.207e+12
       520   7.429   6.477e+21   1.209e+12
       521   7.443   6.554e+21   1.218e+12
       522   7.457   6.795e+21   1.245e+12
       523   7.471   6.471e+21   1.209e+12
       524   7.486   6.605e+21   1.225e+12
       525   7.500   6.798e+21   1.247e+12
       526   7.514   6.711e+21   1.237e+12
       527   7.529   6.441e+21   1.206e+12
       528   7.543   6.325e+21   1.195e+12
       529   7.557   6.578e+21   1.223e+12
       530   7.571   6.486e+21   1.216e+12
       531   7.586   6.347e+21   1.198e+12
       532   7.600   6.432e+21   1.209e+12
       533   7.614   6.248e+21   1.191e+12
       534   7.629   6.609e+21   1.230e+12
       535   7.643   6.537e+21   1.224e+12
       536   7.657   6.270e+21   1.189e+12
       537   7.671   6.337e+21   1.200e+12
       538   7.686   6.484e+21   1.218e+12
       539   7.700   5.972e+21   1.158e+12
       540   7.714   6.208e+21   1.185e+12
       541   7.729   6.033e+21   1.169e+12
       542   7.743   6.301e+21   1.197e+12
       543   7.757   6.189e+21   1.187e+12
       544   7.771   6.366e+21   1.208e+12
       545   7.786   6.200e+21   1.188e+12
       546   7.800   6.112e+21   1.174e+12
       547   7.814   5.973e+21   1.159e+12
       548   7.829   6.046e+21   1.167e+12
       549   7.843   6.266e+21   1.195e+12
       550   7.857   6.236e+21   1.189e+12
       551   7.871   6.291e+21   1.194e+12
       552   7.886   6.180e+21   1.183e+12
       553   7.900   6.066e+21   1.173e+12
       554   7.914   5.903e+21   1.152e+12
       555   7.929   6.048e+21   1.168e+12
       556   7.943   5.940e+21   1.158e+12
       557   7.957   6.106e+21   1.180e+12
       558   7.971   6.053e+21   1.172e+12
       559   7.986   6.015e+21   1.170e+12
       560   8.000   6.060e+21   1.174e+12
       561   8.014   6.089e+21   1.178e+12
       562   8.029   6.124e+21   1.182e+12
       563   8.043   6.111e+21   1.180e+12
       564   8.057   6.150e+21   1.185e+12
       565   8.071   6.211e+21   1.191e+12
       566   8.086   6.173e+21   1.191e+12
       567   8.100   6.302e+21   1.204e+12
       568   8.114   6.200e+21   1.192e+12
       569   8.129   6.143e+21   1.184e+12
       570   8.143   6.215e+21   1.192e+12
       571   8.157   6.320e+21   1.206e+12
       572   8.171   6.238e+21   1.195e+12
       573   8.186   6.360e+21   1.206e+12
       574   8.200   6.291e+21   1.197e+12
       575   8.214   6.416e+21   1.211e+12
       576   8.229   6.482e+21   1.220e+12
       577   8.243   6.482e+21   1.217e+12
       578   8.257   6.499e+21   1.217e+12
       579   8.271   6.553e+21   1.224e+12
       580   8.286   6.540e+21   1.222e+12
       581   8.300   6.574e+21   1.225e+12
       582   8.314   6.689e+21   1.238e+12
       583   8.329   6.603e+21   1.228e+12
       584   8.343   6.779e+21   1.245e+12
       585   8.357   6.691e+21   1.234e+12
       586   8.371   6.597e+21   1.224e+12
       587   8.386   6.790e+21   1.246e+12
       588   8.400   6.784e+21   1.243e+12
       589   8.414   6.726e+21   1.237e+12
       590   8.429   6.746e+21   1.239e+12
       591   8.443   6.948e+21   1.258e+12
       592   8.457   6.874e+21   1.248e+12
       593   8.471   7.056e+21   1.270e+12
       594   8.486   6.924e+21   1.250e+12
       595   8.500   6.869e+21   1.247e+12
       596   8.514   6.844e+21   1.240e+12
       597   8.529   7.124e+21   1.271e+12
       598   8.543   7.144e+21   1.271e+12
       599   8.557   7.141e+21   1.271e+12
       600   8.571   7.031e+21   1.261e+12
       601   8.586   7.133e+21   1.270e+12
       602   8.600   7.184e+21   1.276e+12
       603   8.614   7.333e+21   1.292e+12
       604   8.629   7.097e+21   1.262e+12
       605   8.643   7.209e+21   1.275e+12
       606   8.657   7.312e+21   1.284e+12
       607   8.671   7.431e+21   1.296e+12
       608   8.686   7.208e+21   1.273e+12
       609   8.700   7.261e+21   1.277e+12
       610   8.714   7.244e+21   1.275e+12
       611   8.729   7.444e+21   1.298e+12
       612   8.743   7.345e+21   1.288e+12
       613   8.757   7.286e+21   1.285e+12
       614   8.771   7.363e+21   1.290e+12
       615   8.786   7.278e+21   1.279e+12
       616   8.800   7.339e+21   1.288e+12
       617   8.814   7.464e+21   1.303e+12
       618   8.829   7.367e+21   1.292e+12
       619   8.843   7.501e+21   1.309e+12
       620   8.857   7.291e+21   1.281e+12
       621   8.871   7.275e+21   1.282e+12
       622   8.886   7.095e+21   1.263e+12
       623   8.900   7.022e+21   1.254e+12
       624   8.914   7.315e+21   1.284e+12
       625   8.929   7.354e+21   1.290e+12
       626   8.943   7.389e+21   1.293e+12
       627   8.957   7.441e+21   1.296e+12
       628   8.971   7.275e+21   1.279e+12
       629   8.986   7.550e+21   1.310e+12
       630   9.000   7.460e+21   1.299e+12
       631   9.014   7.434e+21   1.298e+12
       632   9.029   7.724e+21   1.327e+12
       633   9.043   7.371e+21   1.290e+12
       634   9.057   7.256e+21   1.281e+12
       635   9.071   7.396e+21   1.290e+12
       636   9.086   7.163e+21   1.267e+12
       637   9.100   7.286e+21   1.280e+12
       638   9.114   7.291e+21   1.281e+12
       639   9.129   7.484e+21   1.299e+12
       640   9.143   7.541e+21   1.302e+12
       641   9.157   7.289e+21   1.277e+12
       642   9.171   7.347e+21   1.280e+12
       643   9.186   7.526e+21   1.297e+12
       644   9.200   7.536e+21   1.302e+12
       645   9.214   7.517e+21   1.297e+12
       646   9.229   7.510e+21   1.298e+12
       647   9.243   7.458e+21   1.287e+12
       648   9.257   7.719e+21   1.314e+12
       649   9.271   7.742e+21   1.313e+12
       650   9.286   7.601e+21   1.299e+12
       651   9.300   7.367e+21   1.272e+12
       652   9.314   7.788e+21   1.315e+12
       653   9.329   7.949e+21   1.333e+12
       654   9.343   7.904e+21   1.327e+12
       655   9.357   7.617e+21   1.296e+12
       656   9.371   7.747e+21   1.307e+12
       657   9.386   7.773e+21   1.311e+12
       658   9.400   7.970e+21   1.330e+12
       659   9.414   7.807e+21   1.311e+12
       660   9.429   7.882e+21   1.322e+12
       661   9.443   8.163e+21   1.347e+12
       662   9.457   7.876e+21   1.317e+12
       663   9.471   7.944e+21   1.321e+12
       664   9.486   7.972e+21   1.321e+12
       665   9.500   7.754e+21   1.300e+12
       666   9.514   7.984e+21   1.322e+12
       667   9.529   7.981e+21   1.319e+12
       668   9.543   7.912e+21   1.310e+12
       669   9.557   7.645e+21   1.284e+12
       670   9.571   7.781e+21   1.297e+12
       671   9.586   7.983e+21   1.316e+12
       672   9.600   8.211e+21   1.339e+12
       673   9.614   8.091e+21   1.323e+12
       674   9.629   7.653e+21   1.284e+12
       675   9.643   7.848e+21   1.301e+12
       676   9.657   8.120e+21   1.324e+12
       677   9.671   8.159e+21   1.330e+12
       678   9.686   7.872e+21   1.304e+12
       679   9.700   8.187e+21   1.335e+12
       680   9.714   8.024e+21   1.317e+12
       681   9.729   8.112e+21   1.326e+12
       682   9.743   7.881e+21   1.301e+12
       683   9.757   8.451e+21   1.359e+12
       684   9.771   7.857e+21   1.296e+12
       685   9.786   7.887e+21   1.302e+12
       686   9.800   7.908e+21   1.304e+12
       687   9.814   8.016e+21   1.312e+12
       688   9.829   7.976e+21   1.311e+12
