#     snap       t     L_x     L_y     L_z     L_mag
       440   6.286    0.55    0.27   -0.79   2.665e+12
       441   6.300    0.54    0.28   -0.80   2.688e+12
       442   6.314    0.56    0.25   -0.79   2.710e+12
       443   6.329    0.56    0.27   -0.78   2.730e+12
       444   6.343    0.56    0.25   -0.79   2.770e+12
       445   6.357    0.55    0.26   -0.79   2.732e+12
       446   6.371    0.57    0.25   -0.78   2.771e+12
       447   6.386    0.57    0.26   -0.78   2.864e+12
       448   6.400    0.58    0.26   -0.77   2.807e+12
       449   6.414    0.56    0.26   -0.79   2.770e+12
       450   6.429    0.57    0.24   -0.79   2.785e+12
       451   6.443    0.58    0.26   -0.77   2.784e+12
       452   6.457    0.57    0.26   -0.78   2.868e+12
       453   6.471    0.58    0.26   -0.77   2.914e+12
       454   6.486    0.58    0.24   -0.78   2.974e+12
       455   6.500    0.58    0.25   -0.78   2.834e+12
       456   6.514    0.57    0.24   -0.78   2.983e+12
       457   6.529    0.58    0.25   -0.77   2.910e+12
       458   6.543    0.58    0.24   -0.78   3.006e+12
       459   6.557    0.59    0.24   -0.77   2.924e+12
       460   6.571    0.59    0.25   -0.77   3.023e+12
       461   6.586    0.59    0.23   -0.77   3.032e+12
       462   6.600    0.60    0.24   -0.76   3.010e+12
       463   6.614    0.60    0.24   -0.76   2.926e+12
       464   6.629    0.59    0.24   -0.77   2.961e+12
       465   6.643    0.58    0.25   -0.77   2.995e+12
       466   6.657    0.60    0.24   -0.77   3.018e+12
       467   6.671    0.59    0.23   -0.77   2.985e+12
       468   6.686    0.60    0.25   -0.76   2.956e+12
       469   6.700    0.58    0.24   -0.78   3.032e+12
       470   6.714    0.60    0.24   -0.77   3.036e+12
       471   6.729    0.59    0.25   -0.77   2.933e+12
       472   6.743    0.60    0.23   -0.76   2.982e+12
       473   6.757    0.57    0.25   -0.78   2.993e+12
       474   6.771    0.61    0.23   -0.76   3.063e+12
       475   6.786    0.59    0.25   -0.77   3.076e+12
       476   6.800    0.60    0.23   -0.76   3.152e+12
       477   6.814    0.59    0.23   -0.77   3.022e+12
       478   6.829    0.60    0.24   -0.77   2.989e+12
       479   6.843    0.59    0.23   -0.77   3.010e+12
       480   6.857    0.60    0.23   -0.77   3.067e+12
       481   6.871    0.60    0.23   -0.76   3.074e+12
       482   6.886    0.60    0.23   -0.77   3.008e+12
       483   6.900    0.60    0.24   -0.76   2.987e+12
       484   6.914    0.59    0.25   -0.77   2.926e+12
       485   6.929    0.59    0.23   -0.77   2.929e+12
       486   6.943    0.59    0.25   -0.77   3.085e+12
       487   6.957    0.60    0.24   -0.77   3.016e+12
       488   6.971    0.59    0.23   -0.77   3.031e+12
       489   6.986    0.59    0.23   -0.77   3.017e+12
       490   7.000    0.61    0.22   -0.76   3.050e+12
       491   7.014    0.61    0.23   -0.76   3.040e+12
       492   7.029    0.59    0.24   -0.78   3.109e+12
       493   7.043    0.60    0.23   -0.77   3.096e+12
       494   7.057    0.59    0.23   -0.77   3.021e+12
       495   7.071    0.60    0.23   -0.77   2.986e+12
       496   7.086    0.59    0.23   -0.77   3.073e+12
       497   7.100    0.59    0.24   -0.77   3.035e+12
       498   7.114    0.60    0.22   -0.77   3.060e+12
       499   7.129    0.60    0.23   -0.77   3.083e+12
       500   7.143    0.61    0.22   -0.76   2.937e+12
       501   7.157    0.61    0.22   -0.77   2.881e+12
       502   7.171    0.59    0.22   -0.78   2.889e+12
       503   7.186    0.60    0.22   -0.77   2.864e+12
