gal, snap, a, err
 MW, 000,  61.60, 0.50
 MW, 001,  61.00, 0.10
 MW, 002,  60.10, 0.40
 MW, 003,  60.90, 0.20
 MW, 004,  60.60, 0.30
 MW, 005,  62.20, 0.40
 MW, 006,  62.00, 0.50
 MW, 007,  61.40, 0.10
 MW, 008,  61.50, 0.10
 MW, 009,  61.10, 0.10
 M31, 000,  61.40, 0.20
 M31, 001,  60.40, 0.20
 M31, 002,  60.50, 0.20
 M31, 003,  60.40, 0.10
 M31, 004,  61.10, 0.30
 M31, 005,  61.90, 0.60
 M31, 006,  61.30, 0.70
 M31, 007,  61.40, 0.30
 M31, 008,  61.00, 0.10
 M31, 009,  61.50, 0.50
 M33, 000,  24.40, 0.10
 M33, 001,  24.50, 0.00
 M33, 002,  24.50, 0.10
 M33, 003,  24.10, 0.10
 M33, 004,  23.70, 0.20
 M33, 005,  24.50, 0.10
 M33, 006,  24.30, 0.10
 M33, 007,  24.60, 0.10
 M33, 008,  25.20, 0.20
 M33, 009,  24.30, 0.10
