gal, snap, a, err
 M31, 000,   61.4,  0.2
 M31, 001,   60.4,  0.2
 M31, 002,   60.5,  0.2
 M31, 003,   60.4,  0.1
 M31, 004,   61.1,  0.3
 M31, 005,   61.9,  0.6
 M31, 006,   61.3,  0.7
 M31, 007,   61.4,  0.3
 M31, 008,   61.0,  0.1
 M31, 009,   61.5,  0.5
 M31, 010,   60.9,  0.3
 M31, 011,   61.3,  0.4
 M31, 012,   61.7,  0.6
 M31, 013,   61.4,  0.4
 M31, 014,   62.3,  0.7
 M31, 015,   61.4,  0.2
 M31, 016,   61.9,  0.3
 M31, 017,   60.7,  0.3
 M31, 018,   60.9,  0.3
 M31, 019,   61.1,  0.2
 M31, 020,   60.5,  0.1
 M31, 021,   60.4,  0.1
 M31, 022,   60.8,  0.1
 M31, 023,   61.1,  0.1
 M31, 024,   61.1,  0.1
 M31, 025,   60.6,  0.1
 M31, 026,   60.8,  0.1
 M31, 027,   59.8,  0.3
 M31, 028,   60.4,  0.1
 M31, 029,   60.5,  0.2
 M31, 030,   59.9,  0.3
 M31, 031,   60.5,  0.2
 M31, 032,   60.2,  0.2
 M31, 033,   60.3,  0.1
 M31, 034,   60.6,  0.2
 M31, 035,   60.6,  0.1
 M31, 036,   60.9,  0.1
 M31, 037,   60.5,  0.2
 M31, 038,   60.9,  0.1
 M31, 039,   60.6,  0.1
 M31, 040,   60.9,  0.2
 M31, 041,   60.8,  0.2
 M31, 042,   61.3,  0.3
 M31, 043,   60.9,  0.3
 M31, 044,   60.9,  0.1
 M31, 045,   60.9,  0.1
 M31, 046,   60.6,  0.2
 M31, 047,   60.0,  0.2
 M31, 048,   61.4,  0.3
 M31, 049,   60.9,  0.1
 M31, 050,   61.3,  0.2
 M31, 051,   60.5,  0.1
 M31, 052,   60.8,  0.1
 M31, 053,   61.2,  0.3
 M31, 054,   60.8,  0.1
 M31, 055,   60.3,  0.1
 M31, 056,   60.2,  0.1
 M31, 057,   60.3,  0.1
 M31, 058,   60.1,  0.1
 M31, 059,   60.3,  0.3
 M31, 060,   59.6,  0.2
 M31, 061,   59.7,  0.2
 M31, 062,   59.7,  0.2
 M31, 063,   60.0,  0.2
 M31, 064,   60.3,  0.1
 M31, 065,   59.9,  0.1
 M31, 066,   60.0,  0.1
 M31, 067,   60.2,  0.3
 M31, 068,   60.1,  0.2
 M31, 069,   59.8,  0.2
 M31, 070,   60.4,  0.2
 M31, 071,   59.8,  0.2
 M31, 072,   60.1,  0.2
 M31, 073,   59.9,  0.1
 M31, 074,   60.6,  0.4
 M31, 075,   59.9,  0.3
 M31, 076,   59.8,  0.2
 M31, 077,   60.2,  0.4
 M31, 078,   60.2,  0.3
 M31, 079,   59.4,  0.2
 M31, 080,   60.3,  0.3
 M31, 081,   59.9,  0.2
 M31, 082,   60.0,  0.2
 M31, 083,   60.3,  0.2
 M31, 084,   59.8,  0.2
 M31, 085,   60.0,  0.2
 M31, 086,   59.9,  0.2
 M31, 087,   60.1,  0.2
 M31, 088,   59.6,  0.1
 M31, 089,   59.8,  0.2
 M31, 090,   59.4,  0.2
 M31, 091,   60.3,  0.3
 M31, 092,   59.3,  0.2
 M31, 093,   59.8,  0.2
 M31, 094,   60.3,  0.2
 M31, 095,   60.2,  0.4
 M31, 096,   60.0,  0.2
 M31, 097,   59.9,  0.3
 M31, 098,   60.7,  0.3
 M31, 099,   59.9,  0.3
 M31, 100,   59.6,  0.2
 M31, 101,   60.2,  0.2
 M31, 102,   60.3,  0.2
 M31, 103,   59.8,  0.2
 M31, 104,   61.1,  0.6
 M31, 105,   60.4,  0.2
 M31, 106,   59.7,  0.2
 M31, 107,   59.9,  0.1
 M31, 108,   60.1,  0.2
 M31, 109,   60.2,  0.2
 M31, 110,   61.2,  0.5
 M31, 111,   60.1,  0.2
