galaxy,time (Gyr),count
M31,0.0,112752
M31,0.143,60050
M31,0.286,65519
M31,0.429,72603
M31,0.571,80426
M31,0.714,88545
M31,0.857,93557
M31,1.0,91596
M31,1.143,85040
M31,1.286,78798
M31,1.429,72472
M31,1.571,68897
M31,1.714,66133
M31,1.857,63572
M31,2.0,62198
M31,2.143,60782
M31,2.286,60549
M31,2.429,60014
M31,2.571,60671
M31,2.714,60972
M31,2.857,62233
M31,3.0,63182
M31,3.143,65462
M31,3.286,67427
M31,3.429,71194
M31,3.571,76152
M31,3.714,84459
M31,3.857,103886
M31,3.957,146719
M31,4.0,165566
M31,4.143,143549
M31,4.286,127913
M31,4.429,110464
M31,4.571,93924
M31,4.714,86913
M31,4.786,84411
M31,4.857,81996
M31,5.0,78177
M31,5.143,74181
M31,5.286,71990
M31,5.429,76859
M31,5.571,85862
M31,5.714,98947
M31,5.857,292268
M31,6.0,196051
M31,6.143,233298
M31,6.286,541114
M31,6.429,538812
M31,6.571,473931
M31,6.714,598323
M31,6.857,506789
M31,7.0,540119
M31,7.143,510806
M31,7.286,461600
M31,7.429,447909
M31,7.571,464387
M31,7.714,513161
M31,7.857,561418
M31,8.0,577657
M31,8.143,597380
M31,8.286,558997
M31,8.429,508683
M31,8.571,552002
M31,8.714,544875
M31,8.857,525882
M31,9.0,512546
M31,9.143,499904
M31,9.286,517270
M31,9.429,511617
M31,9.571,483123
M31,9.714,511784
M31,9.857,508883
M31,10.0,494287
M31,10.143,530813
M31,10.286,536821
M31,10.429,532550
M31,10.571,473449
M31,10.714,478652
M31,10.857,495089
M31,11.0,485032
M31,11.143,495595
M31,11.286,515653
M31,11.429,549621
M33,0.0,5793
M33,0.143,2879
M33,0.286,3155
M33,0.429,3571
M33,0.571,3961
M33,0.714,4275
M33,0.857,4131
M33,1.0,4105
M33,1.143,4447
M33,1.286,4844
M33,1.429,5205
M33,1.571,5503
M33,1.714,5948
M33,1.857,6021
M33,2.0,6486
M33,2.143,6728
M33,2.286,6934
M33,2.429,7123
M33,2.571,7511
M33,2.714,7606
M33,2.857,7805
M33,3.0,8230
M33,3.143,8407
M33,3.286,8835
M33,3.429,9141
M33,3.571,9581
M33,3.714,10307
M33,3.857,11199
M33,3.957,24478
M33,4.0,12986
M33,4.143,15299
M33,4.286,16341
M33,4.429,16722
M33,4.571,16818
M33,4.714,16868
M33,4.786,17015
M33,4.857,16923
M33,5.0,17076
M33,5.143,17438
M33,5.286,13145
M33,5.429,11609
M33,5.571,11365
M33,5.714,10738
M33,5.857,10045
M33,6.0,10944
M33,6.143,11145
M33,6.286,11023
M33,6.429,11169
M33,6.571,10395
M33,6.714,13407
M33,6.857,17626
M33,7.0,18312
M33,7.143,18333
M33,7.286,19028
M33,7.429,19254
M33,7.571,19409
M33,7.714,19077
M33,7.857,18329
M33,8.0,16917
M33,8.143,14983
M33,8.286,14187
M33,8.429,13871
M33,8.571,15927
M33,8.714,18009
M33,8.857,19825
M33,9.0,21294
M33,9.143,22157
M33,9.286,22034
M33,9.429,20810
M33,9.571,18872
M33,9.714,16022
M33,9.857,17685
M33,10.0,19120
M33,10.143,19352
M33,10.286,19022
M33,10.429,19250
M33,10.571,22705
M33,10.714,23257
M33,10.857,24262
M33,11.0,24013
M33,11.143,23220
M33,11.286,22042
M33,11.429,20004
MW ,0.0,18035
MW ,0.143,17879
MW ,0.286,18368
MW ,0.429,18173
MW ,0.571,18323
MW ,0.714,18353
MW ,0.857,18602
MW ,1.0,18984
MW ,1.143,20170
MW ,1.286,20864
MW ,1.429,22283
MW ,1.571,23556
MW ,1.714,24666
MW ,1.857,26039
MW ,2.0,27940
MW ,2.143,29669
MW ,2.286,31618
MW ,2.429,33653
MW ,2.571,36353
MW ,2.714,39769
MW ,2.857,43024
MW ,3.0,47443
MW ,3.143,52194
MW ,3.286,59932
MW ,3.429,69683
MW ,3.571,84369
MW ,3.714,106607
MW ,3.857,132561
MW ,3.957,117883
MW ,4.0,106660
MW ,4.143,92004
MW ,4.286,86746
MW ,4.429,89801
MW ,4.571,97105
MW ,4.714,104439
MW ,4.786,108226
MW ,4.857,111567
MW ,5.0,120631
MW ,5.143,142636
MW ,5.286,207327
MW ,5.429,163115
MW ,5.571,154434
MW ,5.714,166558
MW ,5.857,220718
MW ,6.0,174933
MW ,6.143,192688
MW ,6.286,415230
MW ,6.429,336633
MW ,6.571,426514
MW ,6.714,309065
MW ,6.857,421966
MW ,7.0,378542
MW ,7.143,381347
MW ,7.286,412174
MW ,7.429,419948
MW ,7.571,420186
MW ,7.714,396063
MW ,7.857,343006
MW ,8.0,326401
MW ,8.143,336887
MW ,8.286,407175
MW ,8.429,416207
MW ,8.571,351115
MW ,8.714,344551
MW ,8.857,365183
MW ,9.0,377238
MW ,9.143,390995
MW ,9.286,382003
MW ,9.429,405503
MW ,9.571,452409
MW ,9.714,410722
MW ,9.857,407467
MW ,10.0,409531
MW ,10.143,386830
MW ,10.286,386750
MW ,10.429,402478
MW ,10.571,463553
MW ,10.714,431976
MW ,10.857,404496
MW ,11.0,414762
MW ,11.143,411017
MW ,11.286,412717
MW ,11.429,399190
