#         t      x_hat      y_hat      z_hat      L_mag
      0.000     -0.414     -0.767     -0.489  1.344e+09
      0.014     -0.415     -0.767     -0.489  1.342e+09
      0.029     -0.414     -0.767     -0.489  1.346e+09
      0.043     -0.414     -0.767     -0.489  1.339e+09
      0.057     -0.414     -0.767     -0.490  1.342e+09
      0.071     -0.414     -0.767     -0.490  1.338e+09
      0.086     -0.414     -0.767     -0.491  1.339e+09
      0.100     -0.414     -0.767     -0.491  1.342e+09
      0.114     -0.414     -0.767     -0.491  1.337e+09
      0.129     -0.414     -0.767     -0.491  1.334e+09
      0.143     -0.414     -0.767     -0.491  1.338e+09
      0.157     -0.414     -0.767     -0.491  1.339e+09
      0.171     -0.414     -0.766     -0.491  1.340e+09
      0.186     -0.414     -0.766     -0.491  1.338e+09
      0.200     -0.415     -0.766     -0.491  1.336e+09
      0.214     -0.415     -0.766     -0.492  1.339e+09
      0.229     -0.415     -0.765     -0.492  1.338e+09
      0.243     -0.414     -0.765     -0.493  1.336e+09
      0.257     -0.414     -0.765     -0.493  1.333e+09
      0.271     -0.414     -0.765     -0.493  1.340e+09
      0.286     -0.414     -0.765     -0.494  1.339e+09
      0.300     -0.414     -0.764     -0.494  1.337e+09
      0.314     -0.414     -0.764     -0.494  1.341e+09
      0.329     -0.415     -0.764     -0.494  1.339e+09
      0.343     -0.414     -0.764     -0.495  1.337e+09
      0.357     -0.414     -0.764     -0.495  1.336e+09
      0.371     -0.414     -0.764     -0.495  1.338e+09
      0.386     -0.415     -0.763     -0.495  1.333e+09
      0.400     -0.415     -0.763     -0.495  1.333e+09
      0.414     -0.416     -0.763     -0.495  1.334e+09
      0.429     -0.416     -0.763     -0.495  1.335e+09
      0.443     -0.417     -0.763     -0.495  1.338e+09
      0.457     -0.416     -0.763     -0.494  1.339e+09
      0.471     -0.417     -0.763     -0.494  1.337e+09
      0.486     -0.417     -0.763     -0.494  1.338e+09
      0.500     -0.417     -0.763     -0.493  1.335e+09
      0.514     -0.417     -0.763     -0.494  1.337e+09
      0.529     -0.417     -0.763     -0.493  1.335e+09
      0.543     -0.417     -0.763     -0.494  1.335e+09
      0.557     -0.418     -0.763     -0.493  1.335e+09
      0.571     -0.417     -0.763     -0.493  1.333e+09
      0.586     -0.418     -0.764     -0.493  1.337e+09
      0.600     -0.417     -0.764     -0.492  1.332e+09
      0.614     -0.418     -0.764     -0.492  1.332e+09
      0.629     -0.418     -0.764     -0.492  1.334e+09
      0.643     -0.418     -0.764     -0.491  1.333e+09
      0.657     -0.418     -0.765     -0.490  1.334e+09
      0.671     -0.418     -0.765     -0.490  1.336e+09
      0.686     -0.418     -0.765     -0.489  1.333e+09
      0.700     -0.418     -0.766     -0.489  1.332e+09
      0.714     -0.418     -0.766     -0.489  1.330e+09
      0.729     -0.417     -0.766     -0.489  1.330e+09
      0.743     -0.417     -0.766     -0.489  1.334e+09
      0.757     -0.417     -0.766     -0.490  1.333e+09
      0.771     -0.417     -0.766     -0.490  1.334e+09
      0.786     -0.417     -0.766     -0.490  1.332e+09
      0.800     -0.417     -0.765     -0.490  1.332e+09
      0.814     -0.417     -0.765     -0.491  1.330e+09
      0.829     -0.417     -0.765     -0.491  1.329e+09
      0.843     -0.416     -0.765     -0.492  1.333e+09
      0.857     -0.416     -0.764     -0.492  1.334e+09
      0.871     -0.416     -0.764     -0.493  1.333e+09
      0.886     -0.415     -0.764     -0.494  1.329e+09
      0.900     -0.415     -0.764     -0.494  1.330e+09
      0.914     -0.415     -0.763     -0.496  1.329e+09
      0.929     -0.414     -0.763     -0.497  1.326e+09
      0.943     -0.413     -0.763     -0.498  1.330e+09
      0.957     -0.412     -0.762     -0.499  1.329e+09
      0.971     -0.412     -0.762     -0.500  1.329e+09
      0.986     -0.412     -0.761     -0.501  1.329e+09
      1.000     -0.412     -0.760     -0.502  1.329e+09
      1.014     -0.412     -0.760     -0.503  1.329e+09
      1.029     -0.412     -0.760     -0.504  1.329e+09
      1.043     -0.411     -0.759     -0.504  1.325e+09
      1.057     -0.411     -0.759     -0.505  1.328e+09
      1.071     -0.411     -0.758     -0.506  1.327e+09
      1.086     -0.411     -0.758     -0.507  1.328e+09
      1.100     -0.410     -0.758     -0.507  1.325e+09
      1.114     -0.410     -0.757     -0.509  1.326e+09
      1.129     -0.410     -0.757     -0.509  1.325e+09
      1.143     -0.410     -0.757     -0.509  1.325e+09
      1.157     -0.410     -0.756     -0.510  1.324e+09
      1.171     -0.409     -0.756     -0.510  1.325e+09
      1.186     -0.409     -0.756     -0.511  1.325e+09
      1.200     -0.410     -0.756     -0.511  1.326e+09
      1.214     -0.409     -0.755     -0.512  1.326e+09
      1.229     -0.410     -0.755     -0.512  1.325e+09
      1.243     -0.409     -0.755     -0.512  1.325e+09
      1.257     -0.410     -0.755     -0.512  1.326e+09
      1.271     -0.410     -0.754     -0.513  1.327e+09
      1.286     -0.409     -0.754     -0.513  1.325e+09
      1.300     -0.409     -0.754     -0.514  1.327e+09
