#         t      x_hat      y_hat      z_hat      L_mag
      0.000     -0.006     -0.004     -1.000  4.721e+08
      0.014     -0.005     -0.004     -1.000  4.748e+08
      0.029     -0.005     -0.003     -1.000  4.756e+08
      0.043     -0.005     -0.002     -1.000  4.744e+08
      0.057     -0.005     -0.001     -1.000  4.733e+08
      0.071     -0.005     -0.001     -1.000  4.722e+08
      0.086     -0.005     -0.002     -1.000  4.716e+08
      0.100     -0.006     -0.002     -1.000  4.742e+08
      0.114     -0.005     -0.002     -1.000  4.739e+08
      0.129     -0.004     -0.002     -1.000  4.752e+08
      0.143     -0.003     -0.002     -1.000  4.717e+08
      0.157     -0.002     -0.003     -1.000  4.735e+08
      0.171     -0.002     -0.002     -1.000  4.725e+08
      0.186     -0.001     -0.002     -1.000  4.711e+08
      0.200      0.000     -0.002     -1.000  4.717e+08
      0.214      0.000     -0.003     -1.000  4.723e+08
      0.229      0.001     -0.003     -1.000  4.719e+08
      0.243      0.001     -0.003     -1.000  4.724e+08
      0.257      0.002     -0.003     -1.000  4.712e+08
      0.271      0.001     -0.003     -1.000  4.714e+08
      0.286      0.001     -0.003     -1.000  4.733e+08
      0.300      0.000     -0.003     -1.000  4.727e+08
      0.314     -0.000     -0.003     -1.000  4.715e+08
      0.329     -0.001     -0.003     -1.000  4.723e+08
      0.343     -0.001     -0.003     -1.000  4.712e+08
      0.357     -0.001     -0.004     -1.000  4.708e+08
      0.371     -0.001     -0.004     -1.000  4.725e+08
      0.386     -0.001     -0.004     -1.000  4.715e+08
      0.400     -0.002     -0.004     -1.000  4.734e+08
      0.414     -0.002     -0.005     -1.000  4.732e+08
      0.429     -0.002     -0.004     -1.000  4.715e+08
      0.443     -0.002     -0.004     -1.000  4.724e+08
      0.457     -0.002     -0.003     -1.000  4.719e+08
      0.471     -0.003     -0.003     -1.000  4.734e+08
      0.486     -0.003     -0.002     -1.000  4.722e+08
      0.500     -0.003     -0.002     -1.000  4.730e+08
      0.514     -0.003     -0.002     -1.000  4.721e+08
      0.529     -0.002     -0.002     -1.000  4.730e+08
      0.543     -0.002     -0.002     -1.000  4.710e+08
      0.557     -0.002     -0.002     -1.000  4.714e+08
      0.571     -0.002     -0.002     -1.000  4.718e+08
      0.586     -0.002     -0.002     -1.000  4.723e+08
      0.600     -0.002     -0.002     -1.000  4.719e+08
      0.614     -0.002     -0.002     -1.000  4.719e+08
      0.629     -0.002     -0.001     -1.000  4.724e+08
      0.643     -0.001     -0.001     -1.000  4.724e+08
      0.657     -0.001     -0.001     -1.000  4.702e+08
      0.671     -0.001     -0.001     -1.000  4.713e+08
