#         t          x          y          z         vx         vy         vz
      0.000   -377.710    611.460   -284.630     73.690    -72.290     49.200
      0.014   -376.680    610.430   -283.920     74.080    -73.420     50.350
      0.029   -375.610    609.400   -283.220     74.420    -75.040     51.920
      0.043   -374.580    608.350   -282.500     73.040    -74.670     52.120
      0.057   -373.530    607.310   -281.790     72.740    -74.640     52.080
      0.071   -372.450    606.260   -281.120     73.490    -75.860     51.870
      0.086   -371.410    605.200   -280.390     73.180    -75.930     51.730
      0.100   -370.360    604.130   -279.680     72.300    -76.630     52.330
      0.114   -369.270    603.040   -278.970     73.160    -76.670     51.950
      0.129   -368.220    601.970   -278.270     73.550    -76.560     51.070
      0.143   -367.160    600.890   -277.570     74.870    -77.360     51.280
      0.157   -366.070    599.800   -276.870     75.340    -77.490     51.780
      0.171   -365.000    598.700   -276.130     74.480    -78.020     52.980
      0.186   -363.900    597.600   -275.430     74.580    -77.630     52.870
      0.200   -362.850    596.530   -274.730     74.610    -77.360     52.590
      0.214   -361.750    595.410   -274.000     74.420    -77.680     52.010
      0.229   -360.670    594.330   -273.320     74.630    -78.440     51.920
      0.243   -359.620    593.230   -272.610     74.100    -78.470     50.760
      0.257   -358.550    592.110   -271.910     73.610    -77.650     49.900
      0.271   -357.500    591.010   -271.210     73.410    -79.050     51.750
      0.286   -356.450    589.880   -270.480     71.760    -79.860     50.970
      0.300   -355.400    588.720   -269.770     70.970    -80.040     50.890
      0.314   -354.350    587.590   -269.070     71.020    -79.510     50.280
      0.329   -353.320    586.460   -268.390     71.940    -80.250     49.370
      0.343   -352.230    585.290   -267.690     71.580    -81.440     50.050
      0.357   -351.230    584.140   -266.990     70.510    -81.940     49.750
      0.371   -350.210    582.990   -266.310     70.280    -82.630     50.000
      0.386   -349.130    581.790   -265.620     69.290    -82.320     50.100
      0.400   -348.190    580.660   -264.950     68.630    -82.380     49.410
      0.414   -347.130    579.430   -264.220     68.260    -81.480     48.810
      0.429   -346.180    578.300   -263.570     68.330    -81.820     45.850
      0.443   -345.150    577.060   -262.860     67.490    -82.510     45.870
      0.457   -344.130    575.840   -262.180     66.860    -82.520     45.100
      0.471   -343.220    574.720   -261.580     67.670    -82.240     43.800
      0.486   -342.190    573.450   -260.840     69.100    -83.200     44.930
      0.500   -341.230    572.240   -260.160     67.790    -83.320     45.010
      0.514   -340.290    571.090   -259.540     67.710    -83.200     45.580
      0.529   -339.320    569.830   -258.790     66.280    -82.460     45.130
      0.543   -338.390    568.660   -258.170     66.000    -82.720     44.160
      0.557   -337.430    567.440   -257.500     66.470    -83.430     43.940
      0.571   -336.510    566.240   -256.830     66.190    -83.230     44.690
      0.586   -335.570    565.010   -256.140     65.870    -83.430     44.440
      0.600   -334.650    563.800   -255.470     65.300    -83.860     44.990
      0.614   -333.750    562.600   -254.810     64.580    -83.230     44.720
      0.629   -332.850    561.390   -254.120     63.260    -82.870     44.330
      0.643   -331.970    560.180   -253.450     62.460    -83.090     44.490
      0.657   -331.120    559.010   -252.830     62.070    -83.230     43.660
      0.671   -330.270    557.830   -252.190     60.830    -82.720     43.890
      0.686   -329.400    556.660   -251.580     61.020    -82.290     42.510
      0.700   -328.620    555.490   -250.920     58.530    -81.980     43.430
      0.714   -327.750    554.310   -250.320     58.010    -82.380     43.930
      0.729   -326.970    553.170   -249.710     57.230    -82.100     44.050
      0.743   -326.190    552.010   -249.100     56.720    -81.590     42.470
      0.757   -325.390    550.850   -248.490     54.440    -81.070     42.880
      0.771   -324.610    549.700   -247.900     54.190    -80.990     42.710
      0.786   -323.800    548.520   -247.270     52.480    -80.660     43.530
      0.800   -323.070    547.400   -246.690     51.210    -80.250     43.420
      0.814   -322.330    546.260   -246.090     49.200    -79.510     43.390
      0.829   -321.650    545.180   -245.520     48.700    -77.710     42.240
      0.843   -320.910    544.050   -244.930     46.380    -76.810     42.150
      0.857   -320.230    542.990   -244.380     46.350    -75.350     41.670
      0.871   -319.500    541.880   -243.790     45.610    -74.340     40.950
      0.886   -318.820    540.800   -243.210     45.430    -73.320     40.080
      0.900   -318.140    539.740   -242.620     45.800    -73.090     40.140
      0.914   -317.480    538.720   -242.080     46.070    -72.260     40.320
      0.929   -316.810    537.670   -241.480     46.120    -71.850     40.180
      0.943   -316.140    536.610   -240.870     45.370    -71.020     40.950
      0.957   -315.460    535.590   -240.280     45.700    -70.930     41.360
      0.971   -314.840    534.590   -239.690     45.570    -70.570     42.280
      0.986   -314.170    533.550   -239.030     45.100    -68.840     43.230
      1.000   -313.470    532.530   -238.400     44.550    -69.020     44.010
      1.014   -312.850    531.550   -237.760     43.580    -68.270     43.790
      1.029   -312.210    530.560   -237.120     43.180    -68.120     45.400
      1.043   -311.590    529.580   -236.460     43.380    -68.250     46.450
      1.057   -310.930    528.620   -235.810     43.200    -67.220     48.180
      1.071   -310.300    527.660   -235.120     42.570    -66.190     49.080
      1.086   -309.710    526.710   -234.400     43.250    -64.770     48.610
      1.100   -309.050    525.750   -233.690     43.520    -64.730     49.910
      1.114   -308.400    524.840   -233.010     44.730    -63.830     49.760
      1.129   -307.730    523.910   -232.300     45.910    -64.150     49.620
      1.143   -307.050    523.000   -231.620     46.030    -64.260     49.890
      1.157   -306.380    522.050   -230.890     45.440    -64.310     50.580
      1.171   -305.770    521.160   -230.150     46.440    -63.860     50.840
      1.186   -305.120    520.250   -229.410     47.520    -63.910     52.030
      1.200   -304.430    519.360   -228.680     47.770    -63.540     54.450
      1.214   -303.780    518.470   -227.900     47.820    -63.280     54.990
      1.229   -303.090    517.550   -227.100     47.280    -63.330     55.950
      1.243   -302.430    516.670   -226.320     46.990    -63.310     56.790
      1.257   -301.760    515.780   -225.510     47.050    -62.730     57.050
      1.271   -301.040    514.880   -224.720     47.050    -62.690     57.830
      1.286   -300.380    514.000   -223.890     47.930    -61.420     57.540
      1.300   -299.680    513.130   -223.100     48.360    -60.660     57.350
      1.314   -298.970    512.260   -222.280     50.040    -61.030     57.700
      1.329   -298.250    511.410   -221.480     51.520    -60.550     58.910
      1.343   -297.540    510.550   -220.640     51.050    -60.620     58.880
      1.357   -296.810    509.700   -219.820     52.290    -60.920     58.940
      1.371   -296.050    508.810   -218.970     52.970    -62.100     59.710
      1.386   -295.300    507.950   -218.140     53.010    -62.630     60.260
      1.400   -294.530    507.060   -217.280     54.260    -62.670     61.150
      1.414   -293.760    506.180   -216.410     54.270    -62.870     62.020
      1.429   -292.970    505.300   -215.550     55.130    -63.180     63.130
      1.443   -292.180    504.400   -214.640     55.910    -63.190     64.260
      1.457   -291.380    503.520   -213.760     56.440    -63.250     64.470
      1.471   -290.550    502.630   -212.890     57.190    -63.190     64.410
      1.486   -289.730    501.740   -211.980     57.800    -62.680     63.210
      1.500   -288.890    500.840   -211.090     58.170    -62.560     62.960
      1.514   -288.050    499.960   -210.220     58.830    -62.470     62.010
      1.529   -287.200    499.040   -209.290     59.270    -62.620     62.840
      1.543   -286.350    498.150   -208.390     59.290    -62.480     63.850
      1.557   -285.480    497.240   -207.470     60.230    -63.250     64.250
      1.571   -284.620    496.350   -206.570     60.800    -63.340     64.280
      1.586   -283.760    495.450   -205.650     61.830    -63.250     63.760
      1.600   -282.860    494.530   -204.730     62.230    -64.150     64.730
      1.614   -281.970    493.600   -203.790     62.250    -64.450     65.410
      1.629   -281.090    492.670   -202.820     62.540    -64.360     65.180
      1.643   -280.160    491.750   -201.910     64.480    -64.290     64.790
      1.657   -279.260    490.820   -200.950     64.950    -64.980     64.970
      1.671   -278.320    489.860   -199.990     66.030    -65.730     65.320
      1.686   -277.400    488.930   -199.040     67.590    -66.530     65.600
      1.700   -276.460    487.970   -198.060     68.450    -67.260     65.880
      1.714   -275.500    487.010   -197.090     70.040    -68.160     66.380
      1.729   -274.510    486.030   -196.110     70.950    -68.120     66.900
      1.743   -273.570    485.080   -195.130     71.890    -68.650     67.240
      1.757   -272.590    484.100   -194.130     72.720    -69.600     67.620
      1.771   -271.580    483.130   -193.170     74.270    -69.910     67.780
      1.786   -270.530    482.120   -192.170     73.970    -69.530     69.210
      1.800   -269.560    481.180   -191.200     74.250    -69.800     68.920
