#         t          x          y          z         vx         vy         vz
      0.000     -0.890      2.410     -1.420     -0.600      3.060     -1.060
      0.014     -2.010      3.090     -1.470      0.370      5.330     -1.190
      0.029     -1.940      3.040     -1.460     -0.260      5.780     -1.250
      0.043     -1.910      3.070     -1.460      0.210      6.900     -0.690
      0.057     -1.860      3.100     -1.470      0.250      6.990     -0.430
      0.071     -1.180      2.460     -1.480     -2.390      5.090     -0.520
      0.086     -1.220      2.500     -1.500     -2.720      5.180     -1.460
      0.100     -1.390      2.680     -1.520     -3.100      6.230     -1.710
      0.114     -1.860      3.160     -1.510     -3.180      7.870     -1.220
      0.129     -1.490      2.780     -1.550     -2.900      7.610     -1.170
      0.143     -1.550      2.760     -1.560     -4.340      7.980     -0.860
      0.157     -1.680      2.960     -1.590     -4.610      8.610     -1.660
      0.171     -1.740      2.920     -1.600     -5.420      7.930     -0.670
      0.186     -1.860      3.130     -1.600     -5.760      7.730     -0.240
      0.200     -1.910      3.140     -1.600     -5.220      8.630      0.070
      0.214     -2.040      3.290     -1.600     -4.500      8.450      0.040
      0.229     -2.080      3.370     -1.600     -4.390      8.250     -0.030
      0.243     -2.150      3.510     -1.610     -4.820      7.140      0.110
      0.257     -2.300      3.660     -1.610     -4.850      8.310     -0.470
      0.271     -2.270      3.690     -1.610     -4.890      6.860     -0.310
      0.286     -2.360      3.890     -1.610     -4.980      6.130      0.260
      0.300     -2.410      4.000     -1.610     -4.450      6.200      0.560
      0.314     -2.440      4.020     -1.600     -4.430      6.210      0.760
      0.329     -2.490      4.180     -1.590     -5.330      7.080      0.210
      0.343     -2.530      4.240     -1.590     -6.810      7.350      1.100
      0.357     -2.600      4.360     -1.580     -7.300      7.610      0.450
      0.371     -2.650      4.400     -1.580     -8.170      8.150     -0.250
      0.386     -2.750      4.580     -1.580     -9.760      8.920     -0.570
      0.400     -2.850      4.570     -1.590    -10.010      9.460     -1.680
      0.414     -2.960      4.670     -1.610     -9.450     10.340     -2.020
      0.429     -3.050      4.840     -1.640     -8.900     12.320     -1.890
      0.443     -3.180      4.940     -1.670     -8.430     12.300     -2.510
      0.457     -3.300      5.090     -1.710     -6.640     11.110     -2.710
      0.471     -3.350      5.220     -1.750     -6.030     10.990     -3.250
      0.486     -3.400      5.390     -1.790     -4.490     10.450     -2.710
      0.500     -3.490      5.550     -1.820     -4.100      9.590     -2.370
      0.514     -3.550      5.650     -1.870     -3.500     10.380     -2.650
      0.529     -3.580      5.770     -1.900     -3.160      8.580     -2.820
      0.543     -3.520      5.940     -1.950     -3.340      7.080     -3.160
      0.557     -3.660      6.040     -1.990     -3.120      6.540     -2.800
      0.571     -3.630      6.160     -2.040     -3.330      5.930     -2.520
      0.586     -3.780      6.200     -2.080     -3.920      5.960     -2.660
      0.600     -3.830      6.300     -2.110     -4.680      5.610     -1.820
      0.614     -3.830      6.480     -2.150     -4.180      4.920     -1.780
      0.629     -3.960      6.480     -2.180     -5.790      5.510     -1.580
      0.643     -4.060      6.570     -2.210     -5.960      5.820     -1.380
      0.657     -4.120      6.760     -2.220     -5.370      6.390     -0.240
      0.671     -4.210      6.750     -2.230     -6.710      6.010     -0.490
      0.686     -4.300      6.890     -2.250     -6.510      5.800     -0.650
      0.700     -4.370      7.110     -2.270     -7.010      5.880     -1.420
      0.714     -4.480      7.150     -2.290     -7.820      7.020     -1.720
      0.729     -4.540      7.280     -2.320     -8.270      7.590     -2.180
      0.743     -4.690      7.470     -2.350     -8.370      9.750     -3.060
      0.757     -4.790      7.720     -2.400     -7.720     10.400     -3.960
      0.771     -4.900      7.910     -2.470     -7.460     11.950     -5.740
      0.786     -4.980      8.080     -2.540     -7.250     11.530     -6.410
      0.800     -4.920      8.190     -2.630     -6.900     10.930     -7.370
      0.814     -5.160      8.450     -2.720     -6.190     10.530     -7.420
      0.829     -5.080      8.520     -2.840     -6.490      8.640     -9.190
      0.843     -5.160      8.690     -2.960     -7.110      9.050     -9.870
      0.857     -5.220      8.820     -3.100     -8.070      7.810     -9.440
      0.871     -5.340      8.950     -3.220     -9.310      9.060     -8.510
      0.886     -5.610      9.180     -3.320    -10.580      9.780     -7.610
      0.900     -5.580      9.210     -3.440    -10.940     10.310     -7.280
      0.914     -5.720      9.350     -3.550    -11.410     10.390     -7.640
      0.929     -6.010      9.610     -3.650    -12.020     11.560     -8.540
      0.943     -6.030      9.630     -3.790    -10.950     11.410     -8.590
      0.957     -6.150      9.780     -3.910    -10.070     10.340     -8.880
      0.971     -6.270      9.910     -4.040     -9.730     10.480     -8.360
      0.986     -6.490     10.180     -4.160     -7.840     11.280     -8.500
      1.000     -6.550     10.220     -4.300     -7.330     11.180     -8.670
      1.014     -6.660     10.450     -4.410     -5.770     10.710     -7.150
      1.029     -6.740     10.560     -4.520     -5.430     10.250     -7.300
      1.043     -6.840     10.720     -4.630     -5.170     10.320     -7.560
      1.057     -6.860     10.800     -4.750     -5.260     11.000     -8.470
      1.071     -6.990     10.960     -4.880     -4.870     11.010     -8.890
      1.086     -7.120     11.140     -5.010     -5.950     12.170     -9.870
      1.100     -7.150     11.310     -5.160     -5.730     13.330    -10.550
      1.114     -7.260     11.490     -5.300     -6.270     14.470    -10.900
      1.129     -7.360     11.740     -5.450     -7.110     16.070    -11.850
      1.143     -7.510     11.930     -5.620     -7.370     16.820    -11.690
      1.157     -7.660     12.190     -5.770     -6.990     17.370    -11.330
      1.171     -7.700     12.410     -5.920     -7.310     16.130    -11.440
      1.186     -7.910     12.650     -6.080     -6.970     15.770    -11.590
      1.200     -8.000     12.860     -6.230     -7.040     16.020    -10.720
      1.214     -8.110     13.150     -6.380     -7.060     15.570    -10.710
      1.229     -8.190     13.460     -6.540     -7.990     14.940    -11.400
      1.243     -8.350     13.710     -6.700     -8.670     14.480    -11.680
      1.257     -8.480     13.990     -6.860     -8.600     15.440    -10.470
      1.271     -8.630     14.150     -7.000     -9.320     16.280    -10.460
