#           t   pos_MW_M31  pos_M33_M31   pos_M33_MW   vel_MW_M31  vel_M33_M31  vels_M33_MW
        0.000      770.158      201.114      796.240      117.144      198.703      178.232
        0.014      767.475      198.981      794.605      119.545      200.676      179.568
        0.029      765.957      196.909      794.196      122.213      203.216      181.383
        0.043      764.350      194.742      793.668      121.436      204.486      182.250
        0.057      762.750      192.582      793.177      121.143      206.068      184.240
        0.071      761.981      190.383      793.444      122.700      208.455      187.318
        0.086      760.308      188.226      792.866      123.162      209.392      188.966
        0.100      758.455      186.054      792.135      124.384      209.570      189.807
        0.114      756.195      183.907      791.034      125.705      210.587      190.065
        0.129      755.045      181.748      790.955      125.133      212.046      192.265
        0.143      753.400      179.590      790.436      127.576      214.343      194.208
        0.157      751.516      177.442      789.730      129.078      216.284      197.315
        0.171      749.852      175.271      789.222      129.034      217.039      198.426
        0.186      747.964      173.043      788.488      128.692      219.159      201.088
        0.200      746.317      170.813      787.916      128.551      220.814      202.377
        0.214      744.445      168.618      787.203      127.858      222.674      204.645
        0.229      742.733      166.385      786.553      128.289      225.174      207.954
        0.243      740.942      164.121      785.812      126.976      227.429      210.719
        0.257      739.087      161.882      785.038      126.816      228.153      212.623
        0.271      737.440      159.670      784.467      127.364      232.056      217.227
        0.286      735.565      157.331      783.614      125.916      237.542      222.403
        0.300      733.764      154.983      782.934      125.134      240.471      225.741
        0.314      732.076      152.657      782.300      124.470      241.817      227.776
        0.329      730.284      150.391      781.709      126.546      244.756      230.580
        0.343      728.504      148.079      781.064      128.159      247.703      233.584
        0.357      726.726      145.623      780.185      128.468      250.763      237.587
        0.371      725.015      143.333      779.625      130.079      252.465      240.318
        0.386      723.096      140.947      778.708      130.924      254.171      243.859
        0.400      721.455      138.531      777.985      131.259      256.459      247.770
        0.414      719.560      136.233      777.167      130.589      258.188      250.528
        0.429      717.776      133.840      776.284      130.790      261.787      250.989
        0.443      715.881      131.583      775.474      130.742      263.308      253.286
        0.457      713.979      129.311      774.600      128.276      265.278      255.993
        0.471      712.288      126.971      773.776      127.817      267.444      259.098
        0.486      710.336      124.831      772.920      128.279      268.853      260.892
        0.500      708.481      122.622      772.028      126.670      271.125      263.909
