#         t         Lx         Ly         Lz
      0.000     -0.007     -0.004     -0.105
      0.014     -0.002     -0.010      0.104
      0.029      0.034     -0.006      0.010
      0.043      0.012      0.077     -0.020
      0.057     -0.058     -0.021      0.045
      0.071      0.084     -0.158     -0.073
      0.086     -0.035      0.024      0.012
      0.100     -0.036      0.049     -0.030
      0.114      0.015     -0.010     -0.133
      0.129     -0.062      0.016      0.087
      0.143     -0.020     -0.047     -0.068
      0.157      0.007      0.021     -0.023
      0.171      0.030     -0.063     -0.037
      0.186     -0.088     -0.009      0.062
      0.200      0.082     -0.108      0.028
      0.214     -0.020     -0.052      0.098
      0.229     -0.003     -0.095      0.040
      0.243     -0.049      0.095      0.080
      0.257     -0.006     -0.112      0.018
      0.271     -0.014     -0.188      0.105
      0.286     -0.090     -0.057     -0.076
      0.300     -0.040     -0.039     -0.004
      0.314     -0.045      0.009     -0.078
      0.329     -0.107     -0.105      0.030
      0.343     -0.057     -0.101      0.085
      0.357     -0.037     -0.014     -0.075
      0.371      0.024     -0.053      0.064
      0.386     -0.024     -0.118     -0.101
      0.400     -0.026      0.003     -0.041
      0.414      0.008      0.025      0.112
      0.429      0.056      0.043     -0.090
      0.443     -0.001      0.075     -0.060
      0.457      0.095     -0.021     -0.044
      0.471     -0.035      0.094      0.010
      0.486      0.094      0.004      0.016
      0.500     -0.027      0.145     -0.027
      0.514     -0.022      0.045      0.155
      0.529      0.041     -0.014     -0.078
      0.543     -0.010     -0.001      0.053
      0.557     -0.050     -0.066      0.070
      0.571      0.011     -0.037     -0.044
      0.586     -0.066      0.004      0.011
      0.600      0.064     -0.064      0.083
      0.614      0.104      0.011     -0.088
      0.629     -0.050      0.028      0.018
      0.643     -0.112      0.070      0.091
      0.657     -0.050      0.096      0.096
      0.671      0.011      0.047     -0.004
      0.686     -0.069     -0.032      0.056
      0.700      0.029     -0.037     -0.146
      0.714      0.061      0.039      0.070
      0.729      0.019     -0.098     -0.003
      0.743      0.056      0.054     -0.051
      0.757      0.009      0.020     -0.049
      0.771     -0.015     -0.014     -0.027
      0.786     -0.041     -0.098      0.029
      0.800     -0.004     -0.054     -0.007
      0.814      0.159      0.100      0.040
      0.829      0.007     -0.075     -0.019
      0.843      0.065     -0.017     -0.085
      0.857     -0.013     -0.042     -0.074
      0.871     -0.011      0.030     -0.009
      0.886     -0.079      0.124     -0.051
      0.900      0.048     -0.058     -0.098
      0.914      0.003     -0.023      0.058
      0.929      0.049     -0.104     -0.031
      0.943     -0.086      0.131      0.058
      0.957     -0.024     -0.002      0.053
      0.971      0.030      0.012     -0.090
      0.986     -0.083     -0.012     -0.078
      1.000      0.112     -0.013      0.040
      1.014     -0.024      0.026      0.049
      1.029      0.141     -0.106      0.001
      1.043      0.001     -0.004      0.120
      1.057     -0.006      0.142      0.039
      1.071      0.030     -0.023     -0.084
      1.086     -0.074     -0.025     -0.050
      1.100      0.019      0.096     -0.032
      1.114      0.041      0.075     -0.041
      1.129      0.077      0.113     -0.022
      1.143     -0.052     -0.031      0.133
      1.157      0.026      0.045      0.072
      1.171     -0.078      0.056      0.065
      1.186     -0.001      0.071      0.064
      1.200      0.009      0.038      0.044
      1.214      0.175      0.090      0.007
      1.229      0.027      0.112     -0.008
      1.243     -0.091     -0.006     -0.038
      1.257     -0.016      0.078      0.055
      1.271     -0.015     -0.089      0.069
      1.286     -0.022     -0.022     -0.160
      1.300     -0.022     -0.063     -0.055
      1.314     -0.043      0.091     -0.154
      1.329     -0.013      0.020     -0.110
      1.343     -0.051      0.100      0.040
      1.357     -0.051      0.128     -0.024
      1.371      0.105      0.116      0.041
      1.386     -0.016      0.080     -0.099
      1.400     -0.018     -0.126     -0.081
      1.414      0.023     -0.069      0.099
      1.429     -0.012     -0.034     -0.091
      1.443      0.067     -0.111      0.105
      1.457      0.014     -0.057     -0.117
      1.471     -0.094      0.021      0.049
      1.486      0.044      0.037      0.016
      1.500     -0.023     -0.011      0.053
      1.514      0.056     -0.000      0.028
      1.529      0.062     -0.049     -0.038
      1.543     -0.006      0.003     -0.060
      1.557     -0.043      0.086     -0.043
      1.571      0.025      0.092     -0.054
      1.586      0.076     -0.010      0.021
      1.600     -0.068      0.066     -0.014
      1.614      0.096     -0.003     -0.028
      1.629      0.010      0.033      0.029
      1.643      0.068     -0.025      0.084
      1.657      0.002      0.037     -0.112
      1.671     -0.001     -0.020      0.055
      1.686     -0.065      0.152     -0.059
      1.700     -0.026      0.084     -0.032
      1.714     -0.103      0.048      0.004
      1.729      0.066      0.033     -0.073
      1.743      0.004     -0.002     -0.117
      1.757     -0.058      0.001      0.028
      1.771     -0.046      0.064     -0.021
      1.786     -0.094     -0.070     -0.029
      1.800     -0.032      0.032     -0.026
      1.814     -0.042     -0.022      0.105
      1.829     -0.008     -0.073      0.026
      1.843      0.044     -0.003     -0.053
      1.857     -0.016     -0.059      0.033
      1.871     -0.060      0.038     -0.019
      1.886      0.025     -0.049     -0.024
      1.900      0.078      0.180      0.017
      1.914      0.056     -0.060      0.004
      1.929      0.017      0.091     -0.073
      1.943     -0.052     -0.022      0.069
      1.957      0.025     -0.008      0.037
      1.971      0.049      0.054      0.010
      1.986      0.027      0.034      0.002
      2.000     -0.016      0.090      0.058
      2.014      0.089      0.030     -0.003
      2.029     -0.017     -0.099      0.021
      2.043     -0.005      0.041      0.102
      2.057      0.047     -0.006      0.015
      2.071      0.012      0.056     -0.076
      2.086     -0.058      0.053     -0.164
      2.100     -0.153     -0.063      0.090
      2.114     -0.002     -0.071      0.007
      2.129     -0.142      0.001     -0.017
      2.143      0.064     -0.038      0.121
      2.157      0.000      0.024     -0.003
      2.171     -0.039      0.026      0.151
      2.186     -0.006      0.013     -0.027
      2.200     -0.018     -0.002     -0.077
      2.214     -0.084     -0.084      0.001
      2.229      0.079      0.048      0.159
      2.243      0.013     -0.082      0.029
      2.257      0.023     -0.006     -0.036
      2.271      0.048      0.084     -0.149
      2.286     -0.078      0.020      0.057
      2.300     -0.007     -0.034      0.012
      2.314     -0.030      0.161      0.006
      2.329     -0.095     -0.050     -0.007
      2.343      0.069     -0.046      0.003
      2.357     -0.048     -0.045     -0.050
      2.371     -0.079     -0.017      0.046
      2.386     -0.103      0.138     -0.027
      2.400     -0.114     -0.076      0.075
      2.414     -0.079     -0.026     -0.038
      2.429      0.065      0.039     -0.047
      2.443     -0.073     -0.047     -0.090
      2.457     -0.100     -0.101      0.019
      2.471     -0.008     -0.014     -0.009
      2.486     -0.037     -0.047      0.034
      2.500     -0.004     -0.046      0.022
      2.514     -0.022      0.050     -0.009
      2.529     -0.035      0.095     -0.051
      2.543     -0.113      0.087      0.131
      2.557     -0.055      0.140     -0.055
      2.571      0.046     -0.037      0.042
      2.586     -0.026     -0.082      0.001
      2.600     -0.003      0.128     -0.012
      2.614      0.211     -0.082     -0.121
      2.629      0.055      0.003     -0.058
      2.643      0.072      0.075     -0.021
      2.657      0.021     -0.082      0.011
      2.671      0.044      0.031     -0.028
      2.686      0.020      0.118     -0.057
      2.700      0.002     -0.024     -0.057
      2.714      0.056     -0.083      0.129
      2.729     -0.046     -0.079      0.047
      2.743     -0.065     -0.010     -0.011
      2.757      0.005      0.087     -0.018
      2.771      0.083      0.093     -0.078
      2.786      0.033      0.022      0.027
      2.800     -0.040      0.024      0.041
