#         t          x          y          z         vx         vy         vz
      0.000   -203.122    314.769   -155.696     36.624    -28.570     29.818
      0.014   -201.953    314.012   -155.105     36.774    -28.561     29.910
      0.029   -200.193    314.380   -153.454     36.566    -28.575     29.923
      0.043   -200.740    314.190   -153.727     36.728    -28.581     30.090
      0.057   -199.499    312.361   -152.442     36.830    -28.519     29.903
      0.071   -198.839    312.692   -153.663     36.640    -28.329     29.966
      0.086   -198.457    312.522   -152.191     36.983    -28.329     29.968
      0.100   -197.404    312.341   -152.111     36.718    -28.464     29.856
      0.114   -198.154    309.911   -151.484     36.749    -28.722     29.988
      0.129   -197.556    310.743   -152.063     36.784    -28.514     29.924
      0.143   -195.625    309.364   -150.648     36.670    -28.578     29.973
      0.157   -195.816    309.489   -150.460     36.712    -28.435     29.992
      0.171   -194.099    309.230   -148.471     36.904    -28.426     29.983
      0.186   -195.234    308.951   -148.566     36.809    -28.502     29.950
      0.200   -196.023    308.751   -151.013     36.939    -28.394     29.891
      0.214   -194.737    307.939   -148.622     36.736    -28.683     29.909
      0.229   -193.834    308.744   -148.797     36.565    -28.546     30.175
      0.243   -193.768    306.869   -147.322     36.569    -28.491     30.099
      0.257   -192.271    306.498   -145.439     36.795    -28.189     30.128
      0.271   -191.202    307.578   -146.021     36.656    -28.341     30.058
      0.286   -191.923    308.303   -145.519     36.693    -28.348     29.972
      0.300   -190.632    307.638   -146.337     36.542    -28.525     30.082
      0.314   -188.610    305.124   -145.991     36.609    -28.406     30.263
      0.329   -189.432    305.578   -144.971     36.847    -28.480     30.003
      0.343   -188.814    304.039   -145.103     36.587    -28.417     30.143
      0.357   -188.447    305.829   -144.797     36.590    -28.449     30.103
      0.371   -188.357    303.156   -142.771     36.612    -28.765     30.101
      0.386   -187.863    303.506   -143.973     36.520    -28.341     30.052
      0.400   -188.269    303.818   -142.251     36.602    -28.870     30.119
      0.414   -186.741    303.538   -143.222     36.233    -28.634     29.865
      0.429   -188.081    302.750   -141.543     36.461    -28.570     29.886
      0.443   -184.430    301.687   -140.471     36.758    -28.677     30.002
      0.457   -184.723    300.611   -141.647     36.545    -28.455     30.193
      0.471   -183.078    301.003   -141.613     36.402    -28.547     30.077
      0.486   -185.027    301.434   -141.262     36.575    -28.576     30.144
      0.500   -183.237    298.935   -139.815     36.333    -28.663     30.163
      0.514   -183.399    300.167   -138.015     36.530    -28.477     30.194
      0.529   -182.242    299.539   -140.010     36.545    -28.540     30.145
      0.543   -182.461    297.366   -136.779     36.372    -28.487     30.208
      0.557   -181.410    299.170   -138.825     36.362    -28.460     30.334
      0.571   -181.291    299.257   -138.018     36.588    -28.610     30.218
      0.586   -179.493    297.419   -136.292     36.374    -28.370     30.429
      0.600   -179.375    298.517   -138.180     36.706    -28.766     30.302
      0.614   -178.372    296.366   -136.453     36.596    -28.735     30.032
      0.629   -178.715    297.639   -135.996     36.532    -28.601     30.265
      0.643   -178.691    296.236   -136.582     36.442    -28.630     30.429
      0.657   -178.565    295.849   -135.387     36.451    -28.381     30.483
      0.671   -175.308    295.753   -132.946     36.333    -28.518     30.461
      0.686   -177.313    296.752   -131.542     36.484    -28.497     30.474
      0.700   -176.144    294.866   -132.724     36.172    -28.321     30.534
      0.714   -174.480    295.197   -133.193     36.547    -28.549     30.610
      0.729   -174.040    291.825   -132.756     36.423    -28.585     30.417
      0.743   -174.175    292.762   -132.711     36.435    -28.795     30.396
      0.757   -173.661    291.507   -131.165     36.565    -28.549     30.481
      0.771   -173.848    292.036   -132.833     36.669    -28.721     30.168
      0.786   -173.996    291.215   -132.143     36.408    -28.449     30.525
      0.800   -171.990    292.091   -129.220     36.468    -28.879     30.187
      0.814   -173.074    289.209   -130.015     36.524    -28.617     30.471
      0.829   -170.549    291.671   -130.493     36.586    -28.756     30.159
      0.843   -172.085    289.746   -129.498     36.418    -28.614     30.138
      0.857   -169.486    290.195   -129.269     36.474    -28.653     30.472
      0.871   -169.500    289.169   -128.317     36.542    -28.530     30.474
      0.886   -170.107    289.090   -130.040     36.502    -28.686     30.376
      0.900   -168.362    290.329   -129.534     36.549    -28.729     30.427
      0.914   -166.781    288.743   -128.194     36.474    -28.683     30.548
      0.929   -166.099    288.848   -125.752     36.551    -28.714     30.311
      0.943   -168.809    287.072   -127.341     36.369    -28.787     30.398
      0.957   -167.620    288.180   -126.027     36.310    -28.839     30.305
      0.971   -165.123    285.928   -124.625     36.729    -28.765     30.325
      0.986   -164.873    286.947   -126.353     36.462    -28.738     30.464
      1.000   -164.565    285.003   -125.356     36.340    -28.841     30.062
      1.014   -163.716    286.004   -123.510     36.507    -28.987     30.307
      1.029   -163.576    285.477   -122.785     36.581    -28.778     30.347
      1.043   -162.882    283.925   -123.318     36.272    -28.839     30.204
      1.057   -162.699    283.912   -122.414     36.327    -28.852     30.188
      1.071   -162.180    284.361   -122.704     36.424    -28.979     30.143
      1.086   -161.135    282.725   -121.236     36.380    -28.865     30.169
      1.100   -159.762    283.779   -121.824     36.497    -28.729     30.433
      1.114   -160.396    282.972   -122.266     36.299    -28.967     30.348
      1.129   -159.339    283.997   -120.066     36.308    -28.920     30.187
      1.143   -159.604    281.413   -119.989     36.329    -29.106     30.194
      1.157   -159.182    281.642   -118.977     36.617    -28.633     30.402
      1.171   -157.265    282.020   -118.983     36.209    -28.900     30.025
      1.186   -158.768    281.571   -120.582     36.355    -29.006     30.088
      1.200   -157.322    279.525   -117.718     36.484    -28.909     30.255
      1.214   -158.773    279.950   -116.865     36.225    -29.043     30.186
      1.229   -157.331    277.431   -117.040     36.260    -29.062     30.030
      1.243   -157.210    278.637   -116.979     36.332    -29.032     30.355
      1.257   -155.418    278.165   -116.755     36.306    -28.697     30.276
      1.271   -154.662    280.076   -116.511     36.347    -28.906     30.198
      1.286   -153.822    278.797   -116.618     36.232    -29.002     30.316
      1.300   -153.440    277.374   -114.263     36.141    -28.914     30.298
      1.314   -154.347    276.092   -113.904     36.311    -28.921     30.238
      1.329   -153.040    276.461   -114.403     36.513    -29.198     30.363
      1.343   -153.203    276.534   -114.082     36.429    -28.855     30.449
      1.357   -151.619    275.576   -115.006     36.576    -29.013     30.162
      1.371   -150.898    275.174   -112.447     36.348    -28.857     30.012
      1.386   -150.653    275.192   -112.565     36.241    -29.212     30.122
      1.400   -151.304    275.430   -112.700     36.233    -29.018     30.036
      1.414   -148.335    272.854   -111.946     36.333    -29.171     30.161
      1.429   -149.358    273.158   -110.532     36.167    -28.780     30.163
      1.443   -149.478    273.687   -110.455     36.367    -28.998     30.187
      1.457   -147.151    273.542   -111.293     36.506    -28.849     30.199
      1.471   -147.000    273.070   -109.611     36.270    -28.990     30.204
      1.486   -148.347    272.329   -108.585     36.533    -29.226     30.091
      1.500   -147.268    271.568   -109.301     36.509    -28.961     29.923
      1.514   -146.955    271.241   -109.118     36.381    -28.909     29.932
      1.529   -145.892    269.186   -108.581     36.524    -28.917     30.072
      1.543   -144.192    271.536   -107.957     35.992    -29.203     30.039
      1.557   -144.280    270.251   -109.007     36.331    -28.939     30.122
      1.571   -143.989    269.491   -107.532     36.608    -29.093     30.034
      1.586   -145.841    267.952   -106.960     36.367    -29.120     29.887
      1.600   -142.660    267.387   -106.966     36.047    -28.962     30.131
      1.614   -142.943    267.016   -106.577     36.465    -29.029     30.029
      1.629   -142.861    267.912   -106.250     36.472    -28.918     29.995
      1.643   -140.897    267.420   -105.776     36.259    -28.980     29.698
      1.657   -141.150    267.019   -105.089     36.435    -28.802     29.957
      1.671   -140.070    264.971   -104.328     36.397    -29.156     29.849
      1.686   -139.780    266.615   -105.087     36.242    -28.951     29.831
      1.700   -139.273    265.985   -104.077     36.589    -29.120     29.855
      1.714   -140.020    264.410   -103.032     36.520    -29.126     30.031
      1.729   -139.548    265.407   -101.111     36.598    -29.222     29.831
      1.743   -136.816    264.859   -100.964     36.560    -29.124     29.890
      1.757   -137.419    263.848   -101.785     36.619    -29.036     29.631
      1.771   -136.565    261.685    -99.895     36.648    -29.118     29.949
      1.786   -137.562    262.723   -101.345     36.590    -28.910     30.079
      1.800   -136.716    262.562   -100.173     36.348    -28.955     29.927
      1.814   -134.247    261.935    -99.180     36.244    -29.380     29.969
      1.829   -135.544    260.555    -98.328     36.360    -29.151     29.687
      1.843   -133.622    262.175    -98.346     36.153    -29.141     29.797
      1.857   -133.159    261.381    -97.933     36.593    -29.156     29.902
      1.871   -133.937    261.286    -98.429     36.411    -29.041     29.875
      1.886   -132.646    259.166    -97.645     36.243    -29.357     30.099
      1.900   -131.892    260.655    -97.889     36.334    -29.097     29.892
      1.914   -131.451    260.324    -95.562     36.631    -29.063     29.929
      1.929   -130.940    260.089    -96.047     36.609    -29.221     29.742
      1.943   -129.629    257.329    -94.641     36.294    -29.142     30.057
      1.957   -131.125    258.022    -95.995     36.702    -28.964     29.936
      1.971   -130.241    257.844    -95.531     36.313    -28.938     30.024
      1.986   -129.493    257.212    -96.491     36.545    -29.010     29.803
      2.000   -128.597    256.038    -93.689     36.405    -28.930     29.941
      2.014   -129.368    256.978    -92.810     36.498    -29.058     29.950
      2.029   -126.273    254.906    -95.233     36.278    -28.867     29.823
      2.043   -126.934    255.846    -92.375     36.592    -29.142     29.877
      2.057   -126.659    254.703    -93.289     36.666    -28.676     29.645
      2.071   -126.243    253.595    -92.956     36.554    -28.990     29.628
      2.086   -125.514    252.878    -92.422     36.244    -29.124     29.766
      2.100   -124.790    252.692    -90.975     36.486    -29.096     29.682
      2.114   -124.806    254.357    -91.120     36.339    -28.936     29.550
      2.129   -123.744    254.837    -92.015     36.495    -29.086     29.770
      2.143   -124.712    252.632    -89.736     36.114    -28.895     29.586
      2.157   -123.324    253.645    -90.946     36.394    -29.007     29.518
      2.171   -122.020    252.472    -89.869     36.523    -29.018     29.632
      2.186   -120.371    251.573    -89.357     36.431    -29.116     29.496
      2.200   -120.891    251.854    -88.371     36.484    -29.007     29.342
      2.214   -121.121    250.433    -88.432     36.248    -28.729     29.691
      2.229   -119.773    250.790    -86.054     36.282    -28.831     29.434
      2.243   -119.687    250.318    -88.307     36.547    -28.675     29.726
      2.257   -119.587    249.384    -86.164     36.638    -28.972     29.476
      2.271   -117.911    249.317    -85.498     36.336    -29.238     29.490
      2.286   -116.812    248.993    -86.476     36.167    -28.762     29.360
      2.300   -116.700    248.512    -83.947     36.269    -28.957     29.610
      2.314   -116.822    248.260    -84.844     36.128    -28.784     29.645
      2.329   -116.602    247.083    -85.386     36.291    -28.918     29.574
      2.343   -115.118    246.582    -83.233     36.477    -28.966     29.525
      2.357   -116.307    245.961    -82.991     36.503    -29.232     29.620
      2.371   -114.396    246.695    -83.338     36.382    -28.814     29.598
      2.386   -115.432    245.349    -83.593     36.440    -28.986     29.877
      2.400   -114.127    244.817    -83.027     36.522    -28.877     29.626
      2.414   -112.876    246.387    -81.996     36.264    -28.897     29.625
      2.429   -112.779    244.351    -81.951     36.529    -29.122     29.546
      2.443   -111.957    244.132    -83.208     36.292    -28.703     29.431
      2.457   -111.749    243.950    -81.513     36.582    -29.056     29.571
      2.471   -111.851    242.596    -81.636     36.442    -29.044     29.666
      2.486   -110.044    242.187    -80.158     36.470    -29.207     29.232
      2.500   -109.842    242.781    -77.095     36.610    -28.969     29.231
      2.514   -110.339    242.165    -79.351     36.468    -28.872     29.386
      2.529   -109.450    242.432    -79.509     36.309    -29.242     29.299
      2.543   -107.160    239.966    -76.166     36.323    -29.030     29.268
      2.557   -107.536    242.292    -77.337     36.162    -29.104     29.430
      2.571   -107.419    239.862    -76.880     36.449    -28.830     29.363
      2.586   -106.357    239.448    -78.499     36.297    -28.967     29.513
      2.600   -107.945    239.346    -76.473     36.554    -28.908     29.358
      2.614   -107.450    239.994    -76.795     36.136    -28.944     29.469
      2.629   -105.459    238.200    -76.910     36.316    -28.911     29.322
      2.643   -105.627    237.681    -75.946     36.244    -28.766     29.374
      2.657   -103.913    236.764    -75.714     36.471    -29.293     29.159
      2.671   -103.355    238.832    -74.965     36.049    -28.955     29.470
      2.686   -103.682    237.371    -72.375     36.325    -29.295     29.345
      2.700   -103.409    235.609    -74.443     36.255    -28.831     29.242
      2.714   -102.529    236.769    -72.734     36.393    -28.799     29.129
      2.729    -99.514    235.251    -72.898     36.336    -28.885     29.350
      2.743   -101.833    233.945    -71.364     36.310    -28.990     29.212
      2.757   -101.095    233.998    -72.144     36.364    -28.935     29.267
      2.771   -101.226    234.665    -71.018     36.298    -28.994     29.169
      2.786   -101.139    232.778    -71.211     36.388    -28.869     29.080
      2.800    -99.240    234.180    -70.310     36.335    -28.669     29.448
      2.814    -98.845    232.546    -70.409     36.315    -28.893     29.289
      2.829    -98.839    231.632    -71.037     36.311    -28.842     29.208
      2.843    -99.036    231.673    -68.544     36.438    -28.936     29.601
      2.857    -97.309    232.170    -69.160     36.284    -29.124     29.288
      2.871    -98.331    230.870    -67.600     36.251    -28.891     29.448
      2.886    -96.471    230.863    -68.172     36.033    -29.041     29.131
      2.900    -96.490    232.018    -66.961     36.107    -29.097     29.245
      2.914    -97.292    231.500    -67.062     36.356    -28.836     29.355
      2.929    -94.942    231.099    -69.002     36.418    -28.866     29.339
      2.943    -94.925    230.128    -67.360     36.598    -28.732     29.049
      2.957    -93.965    229.605    -65.897     36.361    -28.806     29.186
      2.971    -92.946    228.882    -66.545     36.051    -28.972     29.206
      2.986    -92.028    228.165    -65.557     35.923    -28.908     29.281
      3.000    -93.263    227.636    -65.587     36.225    -28.670     29.257
      3.014    -91.558    227.643    -65.249     36.274    -29.015     29.012
      3.029    -91.292    227.875    -63.092     36.222    -28.804     29.194
      3.043    -89.768    228.270    -64.780     36.594    -28.836     29.283
      3.057    -91.160    225.839    -64.616     36.110    -28.851     29.112
      3.071    -89.890    226.467    -62.043     36.187    -28.935     29.502
      3.086    -88.814    225.288    -62.710     36.220    -28.824     29.207
      3.100    -89.703    224.468    -62.734     36.261    -28.895     29.152
      3.114    -88.481    224.512    -61.631     36.172    -28.572     28.946
      3.129    -85.963    223.901    -61.235     36.453    -28.708     29.007
      3.143    -87.483    223.628    -60.342     36.362    -28.653     29.206
      3.157    -86.127    223.400    -60.268     35.998    -28.718     29.218
      3.171    -87.058    222.565    -60.001     36.406    -28.698     29.156
      3.186    -85.387    221.074    -59.790     36.269    -28.484     29.205
      3.200    -85.579    222.386    -58.586     36.298    -28.646     28.813
      3.214    -84.167    221.513    -59.849     36.151    -28.705     29.242
      3.229    -84.509    220.605    -58.777     36.158    -28.482     29.197
      3.243    -83.058    220.672    -58.405     35.972    -28.322     29.123
      3.257    -82.179    220.332    -57.878     36.302    -28.482     29.241
      3.271    -83.799    220.324    -57.448     36.241    -28.689     29.045
      3.286    -81.185    220.268    -57.330     36.112    -28.282     29.017
      3.300    -81.686    218.972    -55.230     36.045    -28.637     29.045
      3.314    -81.455    219.374    -55.038     36.133    -28.544     29.139
      3.329    -79.905    219.586    -57.097     35.990    -28.238     29.490
      3.343    -80.342    216.135    -56.561     36.016    -28.405     29.299
      3.357    -78.291    218.797    -55.246     36.062    -28.406     28.979
      3.371    -78.280    217.517    -52.981     36.266    -28.668     28.935
      3.386    -78.013    217.104    -51.691     36.310    -28.555     29.080
      3.400    -77.850    215.821    -53.701     36.264    -28.451     29.317
      3.414    -77.613    217.306    -53.635     36.424    -28.223     29.150
      3.429    -77.516    214.497    -51.360     36.541    -28.841     29.158
      3.443    -76.696    214.813    -51.848     36.044    -28.405     29.395
      3.457    -75.802    215.146    -51.752     36.031    -28.385     29.077
      3.471    -75.499    213.573    -51.116     36.264    -28.473     29.220
      3.486    -74.013    212.953    -50.311     36.274    -28.507     28.893
      3.500    -74.263    213.771    -49.689     36.245    -28.387     28.996
      3.514    -75.184    214.080    -50.207     36.376    -28.525     29.270
      3.529    -72.370    212.026    -50.179     36.308    -28.555     29.105
      3.543    -73.070    211.223    -49.574     36.205    -28.509     29.197
      3.557    -70.587    211.912    -48.741     36.363    -28.471     28.980
      3.571    -71.621    211.447    -48.387     36.100    -28.541     29.052
      3.586    -71.131    211.134    -47.253     36.422    -28.638     29.086
      3.600    -69.090    209.310    -46.249     36.399    -28.593     28.832
      3.614    -70.729    210.769    -46.552     36.332    -28.583     29.200
      3.629    -70.408    210.179    -47.827     36.412    -28.724     28.902
      3.643    -70.138    209.561    -46.405     36.351    -28.513     29.236
      3.657    -67.736    210.583    -44.815     36.361    -28.453     29.290
      3.671    -67.229    208.475    -46.275     36.665    -28.457     29.101
      3.686    -66.605    208.248    -44.576     36.160    -28.566     29.084
      3.700    -66.801    207.675    -44.710     36.366    -28.512     29.311
      3.714    -65.600    207.013    -43.968     36.537    -28.242     29.099
      3.729    -66.877    205.908    -42.723     36.448    -28.300     29.189
      3.743    -64.131    206.260    -43.885     36.329    -28.021     29.093
      3.757    -65.034    207.163    -42.589     36.696    -28.236     28.964
      3.771    -64.779    205.619    -41.909     36.770    -28.348     29.305
      3.786    -63.153    205.238    -42.109     36.354    -28.498     29.418
      3.800    -64.041    203.421    -40.882     36.336    -28.350     29.054
      3.814    -62.716    203.996    -42.913     36.307    -28.381     29.157
      3.829    -63.140    204.198    -39.760     36.544    -28.605     29.068
      3.843    -62.385    203.708    -39.377     36.626    -28.548     28.956
      3.857    -63.180    202.493    -40.079     36.331    -28.446     28.843
      3.871    -59.646    203.150    -38.842     36.207    -28.429     28.997
      3.886    -60.261    203.128    -40.256     36.591    -28.285     28.813
      3.900    -59.950    202.092    -40.090     36.224    -28.408     28.952
      3.914    -58.468    203.487    -37.681     36.662    -28.257     29.117
      3.929    -59.526    203.106    -37.290     36.333    -28.334     29.066
      3.943    -58.599    200.802    -39.139     36.780    -28.357     29.144
      3.957    -55.458    200.868    -37.057     36.569    -28.263     29.181
      3.971    -56.444    198.946    -36.842     36.731    -28.395     28.825
      3.986    -57.291    199.408    -36.664     36.740    -28.125     28.958
      4.000    -56.296    199.276    -37.202     36.780    -28.280     28.893
      4.014    -55.857    198.138    -36.739     36.726    -28.173     28.914
      4.029    -55.188    198.884    -34.551     36.409    -28.108     28.594
      4.043    -54.660    199.628    -34.790     36.681    -28.208     28.670
      4.057    -54.340    197.761    -35.283     36.886    -28.350     28.875
      4.071    -53.369    197.652    -34.144     36.648    -28.290     28.789
      4.086    -53.001    196.082    -33.414     36.882    -28.220     28.673
      4.100    -52.270    197.098    -31.879     36.762    -28.212     28.677
      4.114    -53.257    196.286    -33.806     36.701    -28.182     28.702
      4.129    -51.102    195.348    -33.490     36.870    -27.852     28.493
      4.143    -51.096    195.437    -33.064     36.675    -28.085     28.627
      4.157    -51.720    195.403    -31.008     36.550    -28.082     28.385
      4.171    -51.008    195.171    -31.513     36.538    -28.126     28.680
      4.186    -49.696    193.887    -29.862     36.738    -27.769     28.537
      4.200    -49.741    193.193    -29.185     36.397    -28.206     28.425
      4.214    -49.185    193.567    -30.008     36.732    -27.995     28.818
      4.229    -47.553    193.495    -28.246     36.964    -27.856     28.526
      4.243    -46.159    193.166    -27.480     36.557    -27.861     28.316
      4.257    -46.677    193.068    -29.224     36.668    -27.743     28.374
      4.271    -45.674    192.732    -26.564     36.944    -28.034     28.389
      4.286    -45.740    192.761    -28.399     36.946    -27.914     28.420
      4.300    -45.353    191.067    -28.039     36.837    -27.834     28.530
      4.314    -46.538    190.850    -26.540     36.995    -28.053     28.434
      4.329    -44.115    188.802    -26.545     36.773    -28.352     28.545
      4.343    -42.670    190.227    -26.605     37.148    -28.134     28.322
      4.357    -44.205    188.122    -25.950     36.907    -27.918     28.885
      4.371    -42.884    189.885    -25.316     36.824    -28.123     28.412
      4.386    -42.342    188.847    -25.498     36.920    -28.240     28.471
      4.400    -40.404    188.225    -23.804     36.883    -28.177     28.558
      4.414    -40.549    187.859    -24.441     36.801    -28.199     28.507
      4.429    -40.334    186.780    -23.700     36.854    -27.579     28.225
      4.443    -38.554    187.037    -23.385     36.746    -27.651     28.520
      4.457    -38.372    186.871    -22.246     36.959    -27.833     28.469
      4.471    -38.658    185.233    -22.766     37.384    -28.073     28.581
      4.486    -38.720    186.130    -22.444     36.838    -28.304     28.207
      4.500    -36.956    185.906    -20.861     36.734    -28.054     28.333
      4.514    -37.034    185.002    -22.098     37.018    -27.870     28.130
      4.529    -36.515    184.129    -22.185     36.875    -27.731     28.339
      4.543    -34.944    184.050    -20.518     37.212    -27.510     28.037
      4.557    -34.490    182.403    -19.836     37.304    -28.070     28.059
      4.571    -35.092    183.497    -19.655     37.353    -27.839     27.836
      4.586    -32.944    182.410    -20.383     37.263    -27.632     28.387
      4.600    -33.604    182.496    -18.161     37.240    -27.849     28.322
      4.614    -35.121    182.281    -17.587     37.219    -27.973     28.386
      4.629    -31.931    181.115    -17.691     36.903    -27.706     28.156
      4.643    -31.484    182.137    -17.321     37.008    -27.855     28.714
      4.657    -32.199    180.755    -16.461     37.097    -27.842     28.162
      4.671    -31.175    179.891    -16.646     37.269    -27.848     28.340
      4.686    -30.159    181.307    -15.359     37.191    -27.518     27.888
      4.700    -28.639    180.158    -15.587     37.045    -27.650     28.338
      4.714    -29.868    179.528    -17.005     37.650    -27.730     28.138
      4.729    -27.738    179.730    -14.964     37.336    -27.540     28.310
      4.743    -27.060    177.656    -15.777     37.117    -27.762     28.262
      4.757    -28.941    178.661    -15.393     36.963    -27.822     28.021
      4.771    -27.872    178.537    -13.899     37.019    -27.509     28.066
      4.786    -28.088    178.788    -13.337     37.455    -28.026     28.193
      4.800    -25.587    176.437    -12.259     37.404    -27.825     27.948
      4.814    -26.042    177.302    -13.409     37.390    -28.049     28.089
      4.829    -24.163    176.698    -12.415     37.527    -27.668     28.073
      4.843    -25.156    174.505    -11.841     37.455    -27.856     28.022
      4.857    -24.598    176.014     -9.973     37.516    -28.028     27.901
      4.871    -23.693    174.762    -10.732     37.435    -27.683     28.120
      4.886    -22.860    175.729    -10.412     37.598    -27.747     27.894
      4.900    -21.056    174.798     -9.944     37.355    -27.741     28.069
      4.914    -22.125    175.179    -11.388     37.632    -27.822     27.929
      4.929    -22.723    173.728    -10.248     37.702    -27.557     28.040
      4.943    -21.200    172.741     -9.857     37.527    -27.773     27.580
      4.957    -18.427    173.097     -7.868     37.451    -27.964     27.923
      4.971    -20.608    173.653     -9.458     37.553    -27.887     28.003
      4.986    -19.729    170.912     -8.235     37.786    -27.554     28.063
      5.000    -19.417    172.311     -7.728     37.524    -27.408     28.054
